Point,Corner,Iin,mc_iteration,temperature,Pass/Fail,/Inv_Out,DELAY
1,C0,40e-9,1,-40,,,1.194e-9
1,C1,40e-9,1,150,,,1.015e-9
2,C0,40e-9,2,-40,,,1.098e-9
2,C1,40e-9,2,150,,,845.9e-12
3,C0,40e-9,3,-40,,,1.085e-9
3,C1,40e-9,3,150,,,893.3e-12
4,C0,40e-9,4,-40,,,1.184e-9
4,C1,40e-9,4,150,,,974.4e-12
5,C0,40e-9,5,-40,,,1.154e-9
5,C1,40e-9,5,150,,,979.1e-12
6,C0,40e-9,6,-40,,,1.091e-9
6,C1,40e-9,6,150,,,694.1e-12
7,C0,40e-9,7,-40,,,1.253e-9
7,C1,40e-9,7,150,,,1.209e-9
8,C0,40e-9,8,-40,,,1.282e-9
8,C1,40e-9,8,150,,,1.129e-9
9,C0,40e-9,9,-40,,,1.112e-9
9,C1,40e-9,9,150,,,927.7e-12
10,C0,40e-9,10,-40,,,1.156e-9
10,C1,40e-9,10,150,,,1.013e-9
11,C0,40e-9,11,-40,,,1.055e-9
11,C1,40e-9,11,150,,,823.4e-12
12,C0,40e-9,12,-40,,,1.187e-9
12,C1,40e-9,12,150,,,972.5e-12
13,C0,40e-9,13,-40,,,1.148e-9
13,C1,40e-9,13,150,,,927.5e-12
14,C0,40e-9,14,-40,,,1.199e-9
14,C1,40e-9,14,150,,,1.036e-9
15,C0,40e-9,15,-40,,,1.03e-9
15,C1,40e-9,15,150,,,757.5e-12
16,C0,40e-9,16,-40,,,1.155e-9
16,C1,40e-9,16,150,,,913.9e-12
17,C0,40e-9,17,-40,,,1.152e-9
17,C1,40e-9,17,150,,,986.8e-12
18,C0,40e-9,18,-40,,,1.107e-9
18,C1,40e-9,18,150,,,833.2e-12
19,C0,40e-9,19,-40,,,1.219e-9
19,C1,40e-9,19,150,,,1.059e-9
20,C0,40e-9,20,-40,,,1.089e-9
20,C1,40e-9,20,150,,,970e-12
21,C0,40e-9,21,-40,,,1.195e-9
21,C1,40e-9,21,150,,,1.025e-9
22,C0,40e-9,22,-40,,,970.6e-12
22,C1,40e-9,22,150,,,eval err
23,C0,40e-9,23,-40,,,1.188e-9
23,C1,40e-9,23,150,,,1.023e-9
24,C0,40e-9,24,-40,,,1.109e-9
24,C1,40e-9,24,150,,,924.6e-12
25,C0,40e-9,25,-40,,,1.153e-9
25,C1,40e-9,25,150,,,972.3e-12
26,C0,40e-9,26,-40,,,1.093e-9
26,C1,40e-9,26,150,,,771.2e-12
27,C0,40e-9,27,-40,,,1.157e-9
27,C1,40e-9,27,150,,,1.018e-9
28,C0,40e-9,28,-40,,,1.227e-9
28,C1,40e-9,28,150,,,1.089e-9
29,C0,40e-9,29,-40,,,1.119e-9
29,C1,40e-9,29,150,,,959.7e-12
30,C0,40e-9,30,-40,,,1.019e-9
30,C1,40e-9,30,150,,,666e-12
31,C0,40e-9,31,-40,,,1.165e-9
31,C1,40e-9,31,150,,,976.7e-12
32,C0,40e-9,32,-40,,,1.194e-9
32,C1,40e-9,32,150,,,1.039e-9
33,C0,40e-9,33,-40,,,1.124e-9
33,C1,40e-9,33,150,,,952.6e-12
34,C0,40e-9,34,-40,,,1.199e-9
34,C1,40e-9,34,150,,,1.037e-9
35,C0,40e-9,35,-40,,,1.127e-9
35,C1,40e-9,35,150,,,909.4e-12
36,C0,40e-9,36,-40,,,1.089e-9
36,C1,40e-9,36,150,,,877.6e-12
37,C0,40e-9,37,-40,,,1.176e-9
37,C1,40e-9,37,150,,,1.037e-9
38,C0,40e-9,38,-40,,,1.14e-9
38,C1,40e-9,38,150,,,965e-12
39,C0,40e-9,39,-40,,,1.136e-9
39,C1,40e-9,39,150,,,858e-12
40,C0,40e-9,40,-40,,,1.062e-9
40,C1,40e-9,40,150,,,840.9e-12
41,C0,40e-9,41,-40,,,1.172e-9
41,C1,40e-9,41,150,,,951.7e-12
42,C0,40e-9,42,-40,,,1.069e-9
42,C1,40e-9,42,150,,,827.5e-12
43,C0,40e-9,43,-40,,,1.215e-9
43,C1,40e-9,43,150,,,949.9e-12
44,C0,40e-9,44,-40,,,1.113e-9
44,C1,40e-9,44,150,,,911.6e-12
45,C0,40e-9,45,-40,,,1.195e-9
45,C1,40e-9,45,150,,,1.057e-9
46,C0,40e-9,46,-40,,,1.14e-9
46,C1,40e-9,46,150,,,1.014e-9
47,C0,40e-9,47,-40,,,1.183e-9
47,C1,40e-9,47,150,,,977.1e-12
48,C0,40e-9,48,-40,,,1.152e-9
48,C1,40e-9,48,150,,,956.8e-12
49,C0,40e-9,49,-40,,,1.033e-9
49,C1,40e-9,49,150,,,627.9e-12
50,C0,40e-9,50,-40,,,1.18e-9
50,C1,40e-9,50,150,,,1.008e-9
51,C0,40e-9,51,-40,,,1.156e-9
51,C1,40e-9,51,150,,,1.085e-9
52,C0,40e-9,52,-40,,,1.161e-9
52,C1,40e-9,52,150,,,955.6e-12
53,C0,40e-9,53,-40,,,1.281e-9
53,C1,40e-9,53,150,,,1.084e-9
54,C0,40e-9,54,-40,,,1.112e-9
54,C1,40e-9,54,150,,,970.9e-12
55,C0,40e-9,55,-40,,,1.102e-9
55,C1,40e-9,55,150,,,815.7e-12
56,C0,40e-9,56,-40,,,1.099e-9
56,C1,40e-9,56,150,,,856.7e-12
57,C0,40e-9,57,-40,,,1.095e-9
57,C1,40e-9,57,150,,,808.6e-12
58,C0,40e-9,58,-40,,,1.178e-9
58,C1,40e-9,58,150,,,1.073e-9
59,C0,40e-9,59,-40,,,1.188e-9
59,C1,40e-9,59,150,,,1.004e-9
60,C0,40e-9,60,-40,,,1.073e-9
60,C1,40e-9,60,150,,,831.9e-12
61,C0,62.86e-9,1,-40,,,1.282e-9
61,C1,62.86e-9,1,150,,,1.147e-9
62,C0,62.86e-9,2,-40,,,1.188e-9
62,C1,62.86e-9,2,150,,,1.02e-9
63,C0,62.86e-9,3,-40,,,1.165e-9
63,C1,62.86e-9,3,150,,,1.03e-9
64,C0,62.86e-9,4,-40,,,1.264e-9
64,C1,62.86e-9,4,150,,,1.117e-9
65,C0,62.86e-9,5,-40,,,1.228e-9
65,C1,62.86e-9,5,150,,,1.104e-9
66,C0,62.86e-9,6,-40,,,1.186e-9
66,C1,62.86e-9,6,150,,,914.2e-12
67,C0,62.86e-9,7,-40,,,1.345e-9
67,C1,62.86e-9,7,150,,,1.304e-9
68,C0,62.86e-9,8,-40,,,1.354e-9
68,C1,62.86e-9,8,150,,,1.238e-9
69,C0,62.86e-9,9,-40,,,1.192e-9
69,C1,62.86e-9,9,150,,,1.062e-9
70,C0,62.86e-9,10,-40,,,1.238e-9
70,C1,62.86e-9,10,150,,,1.137e-9
71,C0,62.86e-9,11,-40,,,1.135e-9
71,C1,62.86e-9,11,150,,,979.1e-12
72,C0,62.86e-9,12,-40,,,1.26e-9
72,C1,62.86e-9,12,150,,,1.107e-9
73,C0,62.86e-9,13,-40,,,1.249e-9
73,C1,62.86e-9,13,150,,,1.082e-9
74,C0,62.86e-9,14,-40,,,1.276e-9
74,C1,62.86e-9,14,150,,,1.161e-9
75,C0,62.86e-9,15,-40,,,1.122e-9
75,C1,62.86e-9,15,150,,,936.9e-12
76,C0,62.86e-9,16,-40,,,1.248e-9
76,C1,62.86e-9,16,150,,,1.073e-9
77,C0,62.86e-9,17,-40,,,1.23e-9
77,C1,62.86e-9,17,150,,,1.116e-9
78,C0,62.86e-9,18,-40,,,1.186e-9
78,C1,62.86e-9,18,150,,,994.9e-12
79,C0,62.86e-9,19,-40,,,1.295e-9
79,C1,62.86e-9,19,150,,,1.178e-9
80,C0,62.86e-9,20,-40,,,1.17e-9
80,C1,62.86e-9,20,150,,,1.101e-9
81,C0,62.86e-9,21,-40,,,1.275e-9
81,C1,62.86e-9,21,150,,,1.154e-9
82,C0,62.86e-9,22,-40,,,1.063e-9
82,C1,62.86e-9,22,150,,,639.8e-12
83,C0,62.86e-9,23,-40,,,1.264e-9
83,C1,62.86e-9,23,150,,,1.149e-9
84,C0,62.86e-9,24,-40,,,1.193e-9
84,C1,62.86e-9,24,150,,,1.059e-9
85,C0,62.86e-9,25,-40,,,1.24e-9
85,C1,62.86e-9,25,150,,,1.116e-9
86,C0,62.86e-9,26,-40,,,1.175e-9
86,C1,62.86e-9,26,150,,,938.5e-12
87,C0,62.86e-9,27,-40,,,1.236e-9
87,C1,62.86e-9,27,150,,,1.144e-9
88,C0,62.86e-9,28,-40,,,1.318e-9
88,C1,62.86e-9,28,150,,,1.209e-9
