Point,Corner,Vin,mc_iteration,temperature,Pass/Fail,/Inv_Out,DELAY
1,MC40,100e-3,1,-40,,,853.8e-12
1,MC150,100e-3,1,150,,,815.6e-12
2,MC40,100e-3,2,-40,,,90.39e-12
2,MC150,100e-3,2,150,,,92.1e-12
3,MC40,100e-3,3,-40,,,82.67e-12
3,MC150,100e-3,3,150,,,87.12e-12
4,MC40,100e-3,4,-40,,,602.6e-12
4,MC150,100e-3,4,150,,,601.4e-12
5,MC40,100e-3,5,-40,,,83.54e-12
5,MC150,100e-3,5,150,,,87.75e-12
6,MC40,100e-3,6,-40,,,86.41e-12
6,MC150,100e-3,6,150,,,91.48e-12
7,MC40,100e-3,7,-40,,,924.8e-12
7,MC150,100e-3,7,150,,,998.8e-12
8,MC40,100e-3,8,-40,,,675.3e-12
8,MC150,100e-3,8,150,,,708.6e-12
9,MC40,100e-3,9,-40,,,83.89e-12
9,MC150,100e-3,9,150,,,88.09e-12
10,MC40,100e-3,10,-40,,,548.3e-12
10,MC150,100e-3,10,150,,,89.57e-12
11,MC40,100e-3,11,-40,,,83.48e-12
11,MC150,100e-3,11,150,,,88.28e-12
12,MC40,100e-3,12,-40,,,85.81e-12
12,MC150,100e-3,12,150,,,90.56e-12
13,MC40,100e-3,13,-40,,,963e-12
13,MC150,100e-3,13,150,,,925.3e-12
14,MC40,100e-3,14,-40,,,496.4e-12
14,MC150,100e-3,14,150,,,104.9e-12
15,MC40,100e-3,15,-40,,,83.14e-12
15,MC150,100e-3,15,150,,,87.49e-12
16,MC40,100e-3,16,-40,,,862e-12
16,MC150,100e-3,16,150,,,860.9e-12
17,MC40,100e-3,17,-40,,,84.74e-12
17,MC150,100e-3,17,150,,,89.16e-12
18,MC40,100e-3,18,-40,,,85.17e-12
18,MC150,100e-3,18,150,,,89.84e-12
19,MC40,100e-3,19,-40,,,584.4e-12
19,MC150,100e-3,19,150,,,98.24e-12
20,MC40,100e-3,20,-40,,,84.79e-12
20,MC150,100e-3,20,150,,,89.62e-12
21,MC40,100e-3,21,-40,,,665.8e-12
21,MC150,100e-3,21,150,,,658e-12
22,MC40,100e-3,22,-40,,,81.85e-12
