Point,Corner,Vin,mc_iteration,temperature,Pass/Fail,/Inv_Out,Delay
1,C0,601e-3,1,-40,,,eval err
1,C1,601e-3,1,150,,,eval err
2,C0,601e-3,2,-40,,,eval err
2,C1,601e-3,2,150,,,eval err
3,C0,601e-3,3,-40,,,eval err
3,C1,601e-3,3,150,,,eval err
4,C0,601e-3,4,-40,,,eval err
4,C1,601e-3,4,150,,,eval err
5,C0,601e-3,5,-40,,,eval err
5,C1,601e-3,5,150,,,eval err
6,C0,601e-3,6,-40,,,eval err
6,C1,601e-3,6,150,,,eval err
7,C0,601e-3,7,-40,,,eval err
7,C1,601e-3,7,150,,,eval err
8,C0,601e-3,8,-40,,,eval err
8,C1,601e-3,8,150,,,eval err
9,C0,601e-3,9,-40,,,eval err
9,C1,601e-3,9,150,,,eval err
10,C0,601e-3,10,-40,,,eval err
10,C1,601e-3,10,150,,,eval err
11,C0,601e-3,11,-40,,,eval err
11,C1,601e-3,11,150,,,eval err
12,C0,601e-3,12,-40,,,eval err
12,C1,601e-3,12,150,,,eval err
13,C0,601e-3,13,-40,,,eval err
13,C1,601e-3,13,150,,,eval err
14,C0,601e-3,14,-40,,,eval err
14,C1,601e-3,14,150,,,eval err
15,C0,601e-3,15,-40,,,eval err
15,C1,601e-3,15,150,,,eval err
16,C0,601e-3,16,-40,,,eval err
16,C1,601e-3,16,150,,,eval err
17,C0,601e-3,17,-40,,,eval err
17,C1,601e-3,17,150,,,eval err
18,C0,601e-3,18,-40,,,eval err
18,C1,601e-3,18,150,,,eval err
19,C0,601e-3,19,-40,,,eval err
19,C1,601e-3,19,150,,,eval err
20,C0,601e-3,20,-40,,,eval err
20,C1,601e-3,20,150,,,eval err
21,C0,601e-3,21,-40,,,eval err
21,C1,601e-3,21,150,,,eval err
22,C0,601e-3,22,-40,,,367.3e-12
22,C1,601e-3,22,150,,,eval err
23,C0,601e-3,23,-40,,,eval err
23,C1,601e-3,23,150,,,eval err
24,C0,601e-3,24,-40,,,eval err
24,C1,601e-3,24,150,,,eval err
25,C0,601e-3,25,-40,,,eval err
25,C1,601e-3,25,150,,,eval err
26,C0,601e-3,26,-40,,,eval err
26,C1,601e-3,26,150,,,eval err
27,C0,601e-3,27,-40,,,eval err
27,C1,601e-3,27,150,,,eval err
28,C0,601e-3,28,-40,,,eval err
28,C1,601e-3,28,150,,,eval err
29,C0,601e-3,29,-40,,,eval err
29,C1,601e-3,29,150,,,eval err
30,C0,601e-3,30,-40,,,eval err
30,C1,601e-3,30,150,,,eval err
31,C0,601e-3,31,-40,,,eval err
31,C1,601e-3,31,150,,,eval err
32,C0,601e-3,32,-40,,,eval err
32,C1,601e-3,32,150,,,eval err
33,C0,601e-3,33,-40,,,eval err
33,C1,601e-3,33,150,,,eval err
34,C0,601e-3,34,-40,,,eval err
34,C1,601e-3,34,150,,,eval err
35,C0,601e-3,35,-40,,,eval err
35,C1,601e-3,35,150,,,eval err
36,C0,601e-3,36,-40,,,345.8e-12
36,C1,601e-3,36,150,,,eval err
37,C0,601e-3,37,-40,,,eval err
37,C1,601e-3,37,150,,,eval err
38,C0,601e-3,38,-40,,,eval err
38,C1,601e-3,38,150,,,eval err
39,C0,601e-3,39,-40,,,eval err
39,C1,601e-3,39,150,,,eval err
40,C0,601e-3,40,-40,,,eval err
40,C1,601e-3,40,150,,,eval err
41,C0,601e-3,41,-40,,,eval err
41,C1,601e-3,41,150,,,eval err
42,C0,601e-3,42,-40,,,eval err
42,C1,601e-3,42,150,,,eval err
43,C0,601e-3,43,-40,,,eval err
43,C1,601e-3,43,150,,,eval err
44,C0,601e-3,44,-40,,,eval err
44,C1,601e-3,44,150,,,eval err
45,C0,601e-3,45,-40,,,eval err
45,C1,601e-3,45,150,,,eval err
46,C0,601e-3,46,-40,,,eval err
46,C1,601e-3,46,150,,,eval err
47,C0,601e-3,47,-40,,,eval err
47,C1,601e-3,47,150,,,eval err
48,C0,601e-3,48,-40,,,eval err
48,C1,601e-3,48,150,,,eval err
49,C0,601e-3,49,-40,,,eval err
49,C1,601e-3,49,150,,,eval err
50,C0,601e-3,50,-40,,,eval err
50,C1,601e-3,50,150,,,eval err
51,C0,601e-3,51,-40,,,eval err
51,C1,601e-3,51,150,,,eval err
52,C0,601e-3,52,-40,,,eval err
52,C1,601e-3,52,150,,,eval err
53,C0,601e-3,53,-40,,,eval err
53,C1,601e-3,53,150,,,eval err
54,C0,601e-3,54,-40,,,eval err
54,C1,601e-3,54,150,,,eval err
55,C0,601e-3,55,-40,,,eval err
55,C1,601e-3,55,150,,,eval err
56,C0,601e-3,56,-40,,,eval err
56,C1,601e-3,56,150,,,eval err
57,C0,601e-3,57,-40,,,eval err
57,C1,601e-3,57,150,,,eval err
58,C0,601e-3,58,-40,,,eval err
58,C1,601e-3,58,150,,,eval err
59,C0,601e-3,59,-40,,,eval err
59,C1,601e-3,59,150,,,eval err
60,C0,601e-3,60,-40,,,eval err
60,C1,601e-3,60,150,,,eval err
61,C0,601e-3,61,-40,,,eval err
