Point,Corner,Vin,mc_iteration,temperature,Pass/Fail,Delay
1,C0,604e-3,1,-40,,1.169e-9
1,C1,604e-3,1,150,,1.267e-9
2,C0,604e-3,2,-40,,1.235e-9
2,C1,604e-3,2,150,,1.301e-9
3,C0,604e-3,3,-40,,1.325e-9
3,C1,604e-3,3,150,,1.451e-9
4,C0,604e-3,4,-40,,1.224e-9
4,C1,604e-3,4,150,,1.276e-9
5,C0,604e-3,5,-40,,1.306e-9
5,C1,604e-3,5,150,,1.427e-9
6,C0,604e-3,6,-40,,1.228e-9
6,C1,604e-3,6,150,,1.305e-9
7,C0,604e-3,7,-40,,1.16e-9
7,C1,604e-3,7,150,,1.134e-9
8,C0,604e-3,8,-40,,1.223e-9
8,C1,604e-3,8,150,,1.261e-9
9,C0,604e-3,9,-40,,1.287e-9
9,C1,604e-3,9,150,,1.4e-9
10,C0,604e-3,10,-40,,1.273e-9
10,C1,604e-3,10,150,,1.372e-9
11,C0,604e-3,11,-40,,1.334e-9
11,C1,604e-3,11,150,,1.449e-9
12,C0,604e-3,12,-40,,1.273e-9
12,C1,604e-3,12,150,,1.349e-9
13,C0,604e-3,13,-40,,1.109e-9
13,C1,604e-3,13,150,,1.221e-9
14,C0,604e-3,14,-40,,1.24e-9
14,C1,604e-3,14,150,,1.296e-9
15,C0,604e-3,15,-40,,1.289e-9
15,C1,604e-3,15,150,,1.417e-9
16,C0,604e-3,16,-40,,1.148e-9
16,C1,604e-3,16,150,,1.223e-9
17,C0,604e-3,17,-40,,1.286e-9
17,C1,604e-3,17,150,,1.383e-9
18,C0,604e-3,18,-40,,1.307e-9
18,C1,604e-3,18,150,,1.399e-9
19,C0,604e-3,19,-40,,1.247e-9
19,C1,604e-3,19,150,,1.332e-9
20,C0,604e-3,20,-40,,1.282e-9
20,C1,604e-3,20,150,,1.37e-9
21,C0,604e-3,21,-40,,1.221e-9
21,C1,604e-3,21,150,,1.284e-9
22,C0,604e-3,22,-40,,1.367e-9
22,C1,604e-3,22,150,,1.528e-9
23,C0,604e-3,23,-40,,1.272e-9
23,C1,604e-3,23,150,,1.354e-9
24,C0,604e-3,24,-40,,1.276e-9
24,C1,604e-3,24,150,,1.414e-9
25,C0,604e-3,25,-40,,1.203e-9
25,C1,604e-3,25,150,,1.261e-9
26,C0,604e-3,26,-40,,1.324e-9
26,C1,604e-3,26,150,,1.464e-9
27,C0,604e-3,27,-40,,1.256e-9
27,C1,604e-3,27,150,,1.331e-9
28,C0,604e-3,28,-40,,1.156e-9
28,C1,604e-3,28,150,,1.201e-9
29,C0,604e-3,29,-40,,1.269e-9
29,C1,604e-3,29,150,,1.361e-9
30,C0,604e-3,30,-40,,1.278e-9
30,C1,604e-3,30,150,,1.362e-9
31,C0,604e-3,31,-40,,1.232e-9
31,C1,604e-3,31,150,,1.311e-9
32,C0,604e-3,32,-40,,1.339e-9
32,C1,604e-3,32,150,,1.443e-9
33,C0,604e-3,33,-40,,1.234e-9
33,C1,604e-3,33,150,,1.351e-9
34,C0,604e-3,34,-40,,1.177e-9
34,C1,604e-3,34,150,,1.249e-9
35,C0,604e-3,35,-40,,1.267e-9
35,C1,604e-3,35,150,,1.339e-9
36,C0,604e-3,36,-40,,1.369e-9
36,C1,604e-3,36,150,,1.507e-9
37,C0,604e-3,37,-40,,1.257e-9
37,C1,604e-3,37,150,,1.311e-9
38,C0,604e-3,38,-40,,1.299e-9
38,C1,604e-3,38,150,,1.393e-9
39,C0,604e-3,39,-40,,1.184e-9
39,C1,604e-3,39,150,,1.247e-9
40,C0,604e-3,40,-40,,1.325e-9
40,C1,604e-3,40,150,,1.444e-9
41,C0,604e-3,41,-40,,1.214e-9
41,C1,604e-3,41,150,,1.325e-9
42,C0,604e-3,42,-40,,1.271e-9
42,C1,604e-3,42,150,,1.36e-9
43,C0,604e-3,43,-40,,1.164e-9
43,C1,604e-3,43,150,,1.193e-9
44,C0,604e-3,44,-40,,1.301e-9
44,C1,604e-3,44,150,,1.398e-9
45,C0,604e-3,45,-40,,1.239e-9
45,C1,604e-3,45,150,,1.341e-9
46,C0,604e-3,46,-40,,1.151e-9
46,C1,604e-3,46,150,,1.199e-9
47,C0,604e-3,47,-40,,1.267e-9
47,C1,604e-3,47,150,,1.326e-9
48,C0,604e-3,48,-40,,1.22e-9
48,C1,604e-3,48,150,,1.335e-9
49,C0,604e-3,49,-40,,1.301e-9
49,C1,604e-3,49,150,,1.417e-9
50,C0,604e-3,50,-40,,1.286e-9
50,C1,604e-3,50,150,,1.384e-9
51,C0,604e-3,51,-40,,1.217e-9
51,C1,604e-3,51,150,,1.28e-9
52,C0,604e-3,52,-40,,1.251e-9
52,C1,604e-3,52,150,,1.356e-9
53,C0,604e-3,53,-40,,1.067e-9
53,C1,604e-3,53,150,,eval err
54,C0,604e-3,54,-40,,1.22e-9
54,C1,604e-3,54,150,,1.28e-9
55,C0,604e-3,55,-40,,1.285e-9
55,C1,604e-3,55,150,,1.394e-9
56,C0,604e-3,56,-40,,1.222e-9
56,C1,604e-3,56,150,,1.335e-9
57,C0,604e-3,57,-40,,1.342e-9
57,C1,604e-3,57,150,,1.459e-9
58,C0,604e-3,58,-40,,1.228e-9
58,C1,604e-3,58,150,,1.289e-9
59,C0,604e-3,59,-40,,1.295e-9
59,C1,604e-3,59,150,,1.396e-9
60,C0,604e-3,60,-40,,1.183e-9
60,C1,604e-3,60,150,,1.313e-9
61,C0,604e-3,61,-40,,1.302e-9
61,C1,604e-3,61,150,,1.409e-9
62,C0,604e-3,62,-40,,1.257e-9
62,C1,604e-3,62,150,,1.359e-9
63,C0,604e-3,63,-40,,1.111e-9
63,C1,604e-3,63,150,,eval err
64,C0,604e-3,64,-40,,1.349e-9
64,C1,604e-3,64,150,,1.48e-9
65,C0,604e-3,65,-40,,1.25e-9
65,C1,604e-3,65,150,,1.343e-9
66,C0,604e-3,66,-40,,1.266e-9
66,C1,604e-3,66,150,,1.388e-9
67,C0,604e-3,67,-40,,1.243e-9
67,C1,604e-3,67,150,,1.308e-9
68,C0,604e-3,68,-40,,1.281e-9
68,C1,604e-3,68,150,,1.415e-9
69,C0,604e-3,69,-40,,1.252e-9
69,C1,604e-3,69,150,,1.328e-9
70,C0,604e-3,70,-40,,1.178e-9
70,C1,604e-3,70,150,,1.145e-9
71,C0,610e-3,1,-40,,1.617e-9
71,C1,610e-3,1,150,,1.726e-9
72,C0,610e-3,2,-40,,1.57e-9
72,C1,610e-3,2,150,,1.681e-9
73,C0,610e-3,3,-40,,1.627e-9
73,C1,610e-3,3,150,,1.764e-9
74,C0,610e-3,4,-40,,1.599e-9
74,C1,610e-3,4,150,,1.707e-9
75,C0,610e-3,5,-40,,1.647e-9
75,C1,610e-3,5,150,,1.78e-9
76,C0,610e-3,6,-40,,1.574e-9
76,C1,610e-3,6,150,,1.704e-9
77,C0,610e-3,7,-40,,1.601e-9
77,C1,610e-3,7,150,,1.688e-9
78,C0,610e-3,8,-40,,1.639e-9
78,C1,610e-3,8,150,,1.744e-9
79,C0,610e-3,9,-40,,1.611e-9
79,C1,610e-3,9,150,,1.741e-9
80,C0,610e-3,10,-40,,1.634e-9
80,C1,610e-3,10,150,,1.745e-9
81,C0,610e-3,11,-40,,1.603e-9
81,C1,610e-3,11,150,,1.746e-9
82,C0,610e-3,12,-40,,1.623e-9
82,C1,610e-3,12,150,,1.75e-9
83,C0,610e-3,13,-40,,1.583e-9
83,C1,610e-3,13,150,,1.692e-9
84,C0,610e-3,14,-40,,1.607e-9
84,C1,610e-3,14,150,,1.718e-9
85,C0,610e-3,15,-40,,1.592e-9
85,C1,610e-3,15,150,,1.729e-9
86,C0,610e-3,16,-40,,1.574e-9
86,C1,610e-3,16,150,,1.682e-9
87,C0,610e-3,17,-40,,1.626e-9
87,C1,610e-3,17,150,,1.748e-9
88,C0,610e-3,18,-40,,1.603e-9
88,C1,610e-3,18,150,,1.744e-9
89,C0,610e-3,19,-40,,1.639e-9
89,C1,610e-3,19,150,,1.755e-9
90,C0,610e-3,20,-40,,1.577e-9
90,C1,610e-3,20,150,,1.695e-9
91,C0,610e-3,21,-40,,1.606e-9
91,C1,610e-3,21,150,,1.714e-9
92,C0,610e-3,22,-40,,1.626e-9
92,C1,610e-3,22,150,,1.801e-9
93,C0,610e-3,23,-40,,1.631e-9
93,C1,610e-3,23,150,,1.748e-9
94,C0,610e-3,24,-40,,1.628e-9
