Iin,Code
2.00E-08,4
2.50E-08,5
3.00E-08,5
3.50E-08,5
4.00E-08,6
4.50E-08,6
5.00E-08,6
5.50E-08,7
6.00E-08,7
6.50E-08,8
7.00E-08,8
7.50E-08,8
8.00E-08,9
8.50E-08,9
9.00E-08,10
9.50E-08,10
1.00E-07,10
1.05E-07,11
1.10E-07,11
1.15E-07,12
1.20E-07,12
1.25E-07,12
1.30E-07,13
1.35E-07,13
1.40E-07,13
1.45E-07,14
1.50E-07,14
1.55E-07,15
1.60E-07,15
1.65E-07,15
1.70E-07,16
1.75E-07,16
1.80E-07,17
1.85E-07,17
1.90E-07,17
1.95E-07,18
2.00E-07,18
2.05E-07,19
2.10E-07,19
2.15E-07,19
2.20E-07,20
2.25E-07,20
2.30E-07,20
2.35E-07,21
2.40E-07,21
2.45E-07,22
2.50E-07,22
2.55E-07,22
2.60E-07,23
2.65E-07,23
2.70E-07,24
2.75E-07,24
2.80E-07,24
2.85E-07,25
2.90E-07,25
2.95E-07,26
3.00E-07,26
3.05E-07,26
3.10E-07,27
3.15E-07,27
3.20E-07,27
3.25E-07,28
3.30E-07,28
3.35E-07,29
3.40E-07,29
3.45E-07,29
3.50E-07,30
3.55E-07,30
3.60E-07,31
3.65E-07,31
3.70E-07,31
3.75E-07,31
3.80E-07,32
3.85E-07,32
3.90E-07,32
3.95E-07,33
4.00E-07,33
4.05E-07,33
4.10E-07,33
4.15E-07,34
4.20E-07,34
4.25E-07,34
4.30E-07,34
4.35E-07,35
4.40E-07,35
4.45E-07,35
4.50E-07,35
4.55E-07,36
4.60E-07,36
4.65E-07,36
4.70E-07,36
4.75E-07,37
4.80E-07,37
4.85E-07,37
4.90E-07,37
4.95E-07,38
5.00E-07,38
5.05E-07,38
5.10E-07,39
5.15E-07,39
5.20E-07,39
5.25E-07,39
5.30E-07,40
5.35E-07,40
5.40E-07,40
5.45E-07,40
5.50E-07,41
5.55E-07,41
5.60E-07,41
5.65E-07,41
5.70E-07,42
5.75E-07,42
5.80E-07,42
5.85E-07,42
5.90E-07,43
5.95E-07,43
6.00E-07,43
6.05E-07,44
6.10E-07,44
6.15E-07,44
6.20E-07,44
6.25E-07,45
6.30E-07,45
6.35E-07,45
6.40E-07,45
6.45E-07,46
6.50E-07,46
6.55E-07,46
6.60E-07,46
6.65E-07,47
6.70E-07,47
6.75E-07,47
6.80E-07,47
6.85E-07,48
6.90E-07,48
6.95E-07,48
7.00E-07,48
7.05E-07,49
7.10E-07,49
7.15E-07,49
7.20E-07,49
7.25E-07,50
7.30E-07,50
7.35E-07,50
7.40E-07,50
7.45E-07,51
7.50E-07,51
7.55E-07,51
7.60E-07,51
7.65E-07,52
7.70E-07,52
7.75E-07,52
7.80E-07,52
7.85E-07,53
7.90E-07,53
7.95E-07,53
8.00E-07,53
8.05E-07,54
8.10E-07,54
8.15E-07,54
8.20E-07,54
8.25E-07,55
8.30E-07,55
8.35E-07,55
8.40E-07,55
8.45E-07,56
8.50E-07,56
8.55E-07,56
8.60E-07,56
8.65E-07,56
8.70E-07,57
8.75E-07,57
8.80E-07,57
8.85E-07,57
8.90E-07,58
8.95E-07,58
9.00E-07,58
9.05E-07,58
9.10E-07,59
9.15E-07,59
9.20E-07,59
9.25E-07,59
9.30E-07,60
9.35E-07,60
9.40E-07,60
9.45E-07,60
9.50E-07,61
9.55E-07,61
9.60E-07,61
9.65E-07,61
9.70E-07,62
9.75E-07,62
9.80E-07,62
9.85E-07,62
9.90E-07,62
9.95E-07,63
1.00E-06,63
1.01E-06,63
1.01E-06,63
1.02E-06,64
1.02E-06,64
1.03E-06,64
1.03E-06,64
1.04E-06,65
1.04E-06,65
1.05E-06,65
1.05E-06,65
1.06E-06,66
1.06E-06,66
1.07E-06,66
1.07E-06,66
1.08E-06,66
1.08E-06,67
1.09E-06,67
1.09E-06,67
1.10E-06,67
1.10E-06,68
1.11E-06,68
