Iinput,Nominal,Min,Max,ss150,ff_40,sf27,fs27
1E-08,4.089E-09,2.784E-09,8.697E-09,8.697E-09,2.845E-09,5.553E-09,2.784E-09
3E-08,4.525E-09,3.127E-09,9.264E-09,9.264E-09,3.181E-09,5.981E-09,3.127E-09
6E-08,5.157E-09,3.715E-09,1.006E-08,1.006E-08,3.715E-09,6.611E-09,3.767E-09
9E-08,5.767E-09,4.261E-09,1.081E-08,1.081E-08,4.261E-09,7.223E-09,4.443E-09
1E-07,5.968E-09,4.444E-09,1.105E-08,1.105E-08,4.444E-09,7.431E-09,4.665E-09
6E-07,1.634E-08,1.45E-08,2.124E-08,2.124E-08,1.45E-08,1.699E-08,1.562E-08
1.1E-06,2.813E-08,2.587E-08,3.167E-08,3.167E-08,2.587E-08,2.799E-08,2.791E-08
1.6E-06,4.05E-08,3.804E-08,4.281E-08,4.281E-08,3.804E-08,4.005E-08,4.1E-08
2.1E-06,5.348E-08,5.075E-08,5.461E-08,5.445E-08,5.075E-08,5.266E-08,5.461E-08
2.6E-06,6.688E-08,6.38E-08,6.878E-08,6.645E-08,6.38E-08,6.548E-08,6.878E-08
3.1E-06,8.049E-08,7.747E-08,8.337E-08,7.874E-08,7.747E-08,7.853E-08,8.337E-08
3.6E-06,9.47E-08,9.128E-08,9.85E-08,9.128E-08,9.141E-08,9.131E-08,9.85E-08
4.1E-06,1.091E-07,1.04E-07,1.145E-07,1.04E-07,1.058E-07,1.05E-07,1.145E-07
4.6E-06,1.245E-07,1.171E-07,1.245E-07,1.171E-07,1.212E-07,1.192E-07,eval err
