Point,Corner,Iinput,mc_iteration,temperature,Pass/Fail,Z2
1,mc150,40e-9,1,150,,19.03e-9
1,mc_40,40e-9,1,-40,,15.98e-9
2,mc150,40e-9,2,150,,14.68e-9
2,mc_40,40e-9,2,-40,,11.6e-9
3,mc150,40e-9,3,150,,14.29e-9
3,mc_40,40e-9,3,-40,,11.96e-9
4,mc150,40e-9,4,150,,15.13e-9
4,mc_40,40e-9,4,-40,,12.03e-9
5,mc150,40e-9,5,150,,15.13e-9
5,mc_40,40e-9,5,-40,,12.5e-9
6,mc150,40e-9,6,150,,10.85e-9
6,mc_40,40e-9,6,-40,,9.06e-9
7,mc150,40e-9,7,150,,19.12e-9
7,mc_40,40e-9,7,-40,,15.09e-9
8,mc150,40e-9,8,150,,15.4e-9
8,mc_40,40e-9,8,-40,,12.26e-9
9,mc150,40e-9,9,150,,15.63e-9
9,mc_40,40e-9,9,-40,,12.78e-9
10,mc150,40e-9,10,150,,18.79e-9
10,mc_40,40e-9,10,-40,,15.47e-9
11,mc150,40e-9,11,150,,8.873e-9
11,mc_40,40e-9,11,-40,,8.055e-9
12,mc150,40e-9,12,150,,11.98e-9
12,mc_40,40e-9,12,-40,,9.669e-9
13,mc150,40e-9,13,150,,19.71e-9
13,mc_40,40e-9,13,-40,,16.83e-9
14,mc150,40e-9,14,150,,15.06e-9
14,mc_40,40e-9,14,-40,,11.88e-9
15,mc150,40e-9,15,150,,14.63e-9
15,mc_40,40e-9,15,-40,,12.19e-9
16,mc150,40e-9,16,150,,17.63e-9
16,mc_40,40e-9,16,-40,,14.6e-9
17,mc150,40e-9,17,150,,15.82e-9
17,mc_40,40e-9,17,-40,,12.75e-9
18,mc150,40e-9,18,150,,8.076e-9
18,mc_40,40e-9,18,-40,,7.216e-9
19,mc150,40e-9,19,150,,16.45e-9
19,mc_40,40e-9,19,-40,,13.36e-9
20,mc150,40e-9,20,150,,14.84e-9
20,mc_40,40e-9,20,-40,,11.52e-9
21,mc150,40e-9,21,150,,16.62e-9
21,mc_40,40e-9,21,-40,,13.37e-9
22,mc150,40e-9,22,150,,3.342e-9
22,mc_40,40e-9,22,-40,,6.853e-9
23,mc150,40e-9,23,150,,15.62e-9
23,mc_40,40e-9,23,-40,,12.47e-9
24,mc150,40e-9,24,150,,19.03e-9
24,mc_40,40e-9,24,-40,,16.17e-9
25,mc150,40e-9,25,150,,17.36e-9
25,mc_40,40e-9,25,-40,,13.94e-9
26,mc150,40e-9,26,150,,9.463e-9
26,mc_40,40e-9,26,-40,,8.831e-9
27,mc150,40e-9,27,150,,16.44e-9
27,mc_40,40e-9,27,-40,,13.02e-9
28,mc150,40e-9,28,150,,18.83e-9
28,mc_40,40e-9,28,-40,,15.58e-9
29,mc150,40e-9,29,150,,16.7e-9
29,mc_40,40e-9,29,-40,,13.41e-9
30,mc150,40e-9,30,150,,9.631e-9
30,mc_40,40e-9,30,-40,,7.99e-9
31,mc150,40e-9,31,150,,17.01e-9
31,mc_40,40e-9,31,-40,,13.79e-9
32,mc150,40e-9,32,150,,12.12e-9
32,mc_40,40e-9,32,-40,,10e-9
33,mc150,40e-9,33,150,,20.4e-9
33,mc_40,40e-9,33,-40,,17.2e-9
34,mc150,40e-9,34,150,,19.29e-9
34,mc_40,40e-9,34,-40,,16.03e-9
35,mc150,40e-9,35,150,,12.5e-9
35,mc_40,40e-9,35,-40,,9.878e-9
36,mc150,40e-9,36,150,,10.65e-9
36,mc_40,40e-9,36,-40,,10.03e-9
37,mc150,40e-9,37,150,,13.58e-9
37,mc_40,40e-9,37,-40,,10.39e-9
