Point,Corner,i,mc_iteration,Pass/Fail,Freq,/Vosc_buff
1,C4,20e-9,1,,1.505e6,
2,C4,20e-9,2,,1.401e6,
3,C4,20e-9,3,,1.515e6,
4,C4,20e-9,4,,1.393e6,
5,C4,20e-9,5,,1.498e6,
6,C4,20e-9,6,,1.347e6,
7,C4,20e-9,7,,1.39e6,
8,C4,20e-9,8,,1.383e6,
9,C4,20e-9,9,,1.478e6,
10,C4,20e-9,10,,1.536e6,
11,C4,20e-9,11,,1.387e6,
12,C4,20e-9,12,,1.359e6,
13,C4,20e-9,13,,1.518e6,
14,C4,20e-9,14,,1.385e6,
15,C4,20e-9,15,,1.518e6,
16,C4,20e-9,16,,1.447e6,
17,C4,20e-9,17,,1.473e6,
18,C4,20e-9,18,,1.317e6,
19,C4,20e-9,19,,1.453e6,
20,C4,20e-9,20,,1.427e6,
21,C4,20e-9,21,,1.419e6,
22,C4,20e-9,22,,1.46e6,
23,C4,20e-9,23,,1.449e6,
24,C4,20e-9,24,,1.616e6,
25,C4,20e-9,25,,1.421e6,
26,C4,20e-9,26,,1.448e6,
27,C4,20e-9,27,,1.434e6,
28,C4,20e-9,28,,1.436e6,
29,C4,20e-9,29,,1.471e6,
30,C4,20e-9,30,,1.327e6,
31,C4,20e-9,31,,1.459e6,
32,C4,20e-9,32,,1.419e6,
33,C4,20e-9,33,,1.584e6,
34,C4,20e-9,34,,1.497e6,
35,C4,20e-9,35,,1.362e6,
36,C4,20e-9,36,,1.512e6,
37,C4,20e-9,37,,1.349e6,
38,C4,20e-9,38,,1.426e6,
39,C4,20e-9,39,,1.388e6,
40,C4,20e-9,40,,1.475e6,
41,C4,20e-9,41,,1.456e6,
42,C4,20e-9,42,,1.416e6,
43,C4,20e-9,43,,1.364e6,
44,C4,20e-9,44,,1.401e6,
45,C4,20e-9,45,,1.539e6,
46,C4,20e-9,46,,1.466e6,
47,C4,20e-9,47,,1.354e6,
48,C4,20e-9,48,,1.507e6,
