Iin2u,F2u,Iin10u,F10u
2.00E-08,27820146.3,2.00E-08,20391177.85
2.36E-08,31705652.78,3.64E-07,138143743.3
2.79E-08,35913420.59,7.08E-07,217526920.5
3.30E-08,39958576.6,1.05E-06,289914830.4
3.89E-08,45022052.04,1.40E-06,358625311.1
4.60E-08,50525946.27,1.74E-06,425074547.1
5.43E-08,56789001.59,2.08E-06,489974004.4
6.41E-08,63249396.28,2.43E-06,553514306.6
7.58E-08,70398620.06,2.77E-06,615830589.9
8.95E-08,78632948.13,3.12E-06,677257273.7
1.06E-07,87993777.04,3.46E-06,737672809.4
1.25E-07,98637127.08,3.81E-06,797157348.1
1.47E-07,110806749.2,4.15E-06,855834809.2
1.74E-07,124732774.7,4.49E-06,914218006.5
2.06E-07,140736218.3,4.84E-06,971307648.5
2.43E-07,159261723.2,5.18E-06,1027062567
2.87E-07,180728970,5.53E-06,1082684839
3.39E-07,205557515.9,5.87E-06,1137055356
4.00E-07,234442764.8,6.21E-06,1191054791
4.73E-07,268023979.6,6.56E-06,1243923450
5.59E-07,307073169.6,6.90E-06,1296256590
6.60E-07,352614537.7,7.25E-06,1348577626
7.79E-07,405842396.3,7.59E-06,1400382556
9.21E-07,468099534.8,7.94E-06,1450173556
1.09E-06,540887298,8.28E-06,1499721916
1.28E-06,625900359.2,8.62E-06,1548854078
1.52E-06,725114553.8,8.97E-06,1597462036
1.79E-06,840304433.5,9.31E-06,1645591515
2.12E-06,973494924.5,9.66E-06,1693232094
2.50E-06,1126889851,1.00E-05,1739684956
