Freq X,Freq Y,Freq X,Freq Y,Freq X,Freq Y,Freq X,Freq Y,Freq X,Freq Y
2e-08,2810252.384718517,2e-08,4433332.76570126,2e-08,3828361.951107347,2e-08,2306464.103902814,2e-08,1410587.955537241
2.578658e-08,3698342.691745953,2.578658e-08,5571706.212451591,2.578658e-08,4952384.409097316,2.578658e-08,2948024.189524098,2.578658e-08,1838726.966633449
3.324738e-08,4785434.349978609,3.324738e-08,7551401.933507331,3.324738e-08,6457036.388704194,3.324738e-08,3901331.219168658,3.324738e-08,2613311.948375626
4.28668e-08,6085988.94868434,4.28668e-08,9315322.993112465,4.28668e-08,8009910.870005826,4.28668e-08,5065716.067920012,4.28668e-08,3614307.611484929
5.52694e-08,7757802.697291692,5.52694e-08,12122029.64453471,5.52694e-08,10011269.67496486,5.52694e-08,6563207.978335782,5.52694e-08,4865079.175172848
7.126043e-08,9875031.236656195,7.126043e-08,16152779.58248685,7.126043e-08,12568988.41198983,7.126043e-08,8452563.554943359,7.126043e-08,6547613.339627353
9.187812e-08,12647262.79248716,9.187812e-08,20045972.10935955,9.187812e-08,15843759.45983055,9.187812e-08,10925838.46198159,9.187812e-08,8503642.233915374
1.184611e-07,16285504.89488212,1.184611e-07,23934573.63186899,1.184611e-07,20053403.31396594,1.184611e-07,14202216.6531468,1.184611e-07,11212956.20647286
1.527353e-07,21059696.32973424,1.527353e-07,29626152.94785401,1.527353e-07,25525976.80578108,1.527353e-07,18513098.50600975,1.527353e-07,14964946.41154887
1.96926e-07,27363351.98019481,1.96926e-07,37259040.7510562,1.96926e-07,32566593.62252217,1.96926e-07,24229575.80278486,1.96926e-07,20173485.74889128
2.539024e-07,35679252.68754531,2.539024e-07,47080326.45265801,2.539024e-07,41723297.37857433,2.539024e-07,31851561.401233,2.539024e-07,27350082.79387791
3.273637e-07,46717153.32144299,3.273637e-07,59765196.63973548,3.273637e-07,53658213.58326545,3.273637e-07,42081654.70241431,3.273637e-07,37162823.47809681
4.220795e-07,61387206.39636101,4.220795e-07,76065939.00140555,4.220795e-07,69283329.14741717,4.220795e-07,55896729.86662517,4.220795e-07,50596302.34375127
5.441992000000001e-07,80928873.9780592,5.441992000000001e-07,97066720.0981642,5.441992000000001e-07,89736952.27450709,5.441992000000001e-07,74437921.40459208,5.441992000000001e-07,68945419.44719553
7.016517e-07,107031070.8903625,7.016517e-07,124262263.0301677,7.016517e-07,116797093.3453841,7.016517e-07,99564378.69649057,7.016517e-07,93766683.26739492
9.046598000000001e-07,142042849.5432539,9.046598000000001e-07,159517683.6487075,9.046598000000001e-07,152459006.1485286,9.046598000000001e-07,133798424.570695,9.046598000000001e-07,127465142.0070137
1.166404e-06,188953677.4271871,1.166404e-06,205092415.9921222,1.166404e-06,199185419.670066,1.166404e-06,179930881.0869282,1.166404e-06,172785300.701011
1.503878e-06,250661319.8065382,1.503878e-06,263796624.2877249,1.503878e-06,259916325.5400348,1.503878e-06,241645433.819975,1.503878e-06,233548280.2174715
1.938993e-06,330487708.4165681,1.938993e-06,338470122.1920312,1.938993e-06,336842607.5436655,1.938993e-06,322831167.7391489,1.938993e-06,313991504.9986888
2.5e-06,431446215.7746343,2.5e-06,431327385.5903624,2.5e-06,432778369.2807995,2.5e-06,426795605.5929791,2.5e-06,419287758.6119171
