Point,Corner,I_input,mc_iteration,Pass/Fail,/Vosc_buff,FREQ
1,MC,20e-9,1,,,4.15e6
2,MC,20e-9,2,,,3.349e6
3,MC,20e-9,3,,,3.708e6
4,MC,20e-9,4,,,3.36e6
5,MC,20e-9,5,,,3.701e6
6,MC,20e-9,6,,,2.962e6
7,MC,20e-9,7,,,3.602e6
8,MC,20e-9,8,,,3.345e6
9,MC,20e-9,9,,,3.666e6
10,MC,20e-9,10,,,4.218e6
11,MC,20e-9,11,,,2.963e6
12,MC,20e-9,12,,,3.051e6
13,MC,20e-9,13,,,4.269e6
14,MC,20e-9,14,,,3.323e6
15,MC,20e-9,15,,,3.736e6
16,MC,20e-9,16,,,3.715e6
17,MC,20e-9,17,,,3.658e6
18,MC,20e-9,18,,,2.538e6
19,MC,20e-9,19,,,3.641e6
20,MC,20e-9,20,,,3.425e6
21,MC,20e-9,21,,,3.539e6
22,MC,20e-9,22,,,2.965e6
23,MC,20e-9,23,,,3.568e6
24,MC,20e-9,24,,,4.585e6
25,MC,20e-9,25,,,3.596e6
26,MC,20e-9,26,,,3.194e6
27,MC,20e-9,27,,,3.563e6
28,MC,20e-9,28,,,3.77e6
29,MC,20e-9,29,,,3.709e6
30,MC,20e-9,30,,,2.807e6
31,MC,20e-9,31,,,3.704e6
32,MC,20e-9,32,,,3.25e6
33,MC,20e-9,33,,,4.527e6
34,MC,20e-9,34,,,4.123e6
35,MC,20e-9,35,,,3.081e6
36,MC,20e-9,36,,,3.5e6
37,MC,20e-9,37,,,3.093e6
38,MC,20e-9,38,,,3.369e6
39,MC,20e-9,39,,,3.352e6
40,MC,20e-9,40,,,3.478e6
41,MC,20e-9,41,,,3.622e6
42,MC,20e-9,42,,,3.338e6
43,MC,20e-9,43,,,3.241e6
44,MC,20e-9,44,,,3.209e6
45,MC,20e-9,45,,,4.3e6
46,MC,20e-9,46,,,4.047e6
47,MC,20e-9,47,,,3.04e6
48,MC,20e-9,48,,,4.092e6
49,MC,20e-9,49,,,3.071e6
50,MC,20e-9,50,,,3.437e6
51,MC,20e-9,51,,,4.125e6
52,MC,20e-9,52,,,3.688e6
53,MC,20e-9,53,,,3.403e6
54,MC,20e-9,54,,,3.63e6
55,MC,20e-9,55,,,3.322e6
56,MC,20e-9,56,,,3.797e6
57,MC,20e-9,57,,,2.864e6
58,MC,20e-9,58,,,3.831e6
59,MC,20e-9,59,,,3.366e6
60,MC,20e-9,60,,,4.337e6
61,MC,20e-9,61,,,3.168e6
62,MC,20e-9,62,,,3.552e6
63,MC,20e-9,63,,,2.911e6
64,MC,20e-9,64,,,3.373e6
65,MC,20e-9,65,,,3.54e6
66,MC,20e-9,66,,,3.332e6
67,MC,20e-9,67,,,3.72e6
68,MC,20e-9,68,,,3.359e6
69,MC,20e-9,69,,,3.715e6
70,MC,20e-9,70,,,3.035e6
71,MC,20e-9,71,,,3.479e6
72,MC,20e-9,72,,,3.364e6
73,MC,20e-9,73,,,3.864e6
74,MC,20e-9,74,,,3.75e6
75,MC,20e-9,75,,,3.528e6
76,MC,20e-9,76,,,3.741e6
77,MC,20e-9,77,,,3.563e6
78,MC,20e-9,78,,,3.397e6
79,MC,20e-9,79,,,3.814e6
80,MC,20e-9,80,,,3.133e6
81,MC,20e-9,81,,,4.243e6
82,MC,20e-9,82,,,4.211e6
83,MC,20e-9,83,,,3.63e6
84,MC,20e-9,84,,,3.221e6
85,MC,20e-9,85,,,3.097e6
86,MC,20e-9,86,,,3.244e6
87,MC,20e-9,87,,,4.187e6
88,MC,20e-9,88,,,3.113e6
89,MC,20e-9,89,,,3.143e6
90,MC,20e-9,90,,,3.275e6
91,MC,20e-9,91,,,4.256e6
92,MC,20e-9,92,,,3.179e6
93,MC,20e-9,93,,,3.449e6
94,MC,20e-9,94,,,4.116e6
95,MC,20e-9,95,,,2.89e6
96,MC,20e-9,96,,,3.689e6
97,MC,20e-9,97,,,2.817e6
98,MC,20e-9,98,,,4.082e6
99,MC,20e-9,99,,,3.814e6
100,MC,20e-9,100,,,3.325e6
101,MC,20e-9,101,,,3.428e6
102,MC,20e-9,102,,,3.628e6
103,MC,20e-9,103,,,3.579e6
104,MC,20e-9,104,,,3.442e6
105,MC,20e-9,105,,,3.627e6
106,MC,20e-9,106,,,3.742e6
107,MC,20e-9,107,,,3.861e6
108,MC,20e-9,108,,,3.782e6
109,MC,20e-9,109,,,2.978e6
110,MC,20e-9,110,,,4.392e6
111,MC,20e-9,111,,,3.17e6
112,MC,20e-9,112,,,3.798e6
113,MC,20e-9,113,,,3.413e6
114,MC,20e-9,114,,,3.218e6
115,MC,20e-9,115,,,3.42e6
116,MC,20e-9,116,,,3.659e6
117,MC,20e-9,117,,,2.962e6
118,MC,20e-9,118,,,3.534e6
119,MC,20e-9,119,,,3.045e6
120,MC,20e-9,120,,,3.673e6
121,MC,20e-9,121,,,4.162e6
122,MC,20e-9,122,,,3.517e6
123,MC,20e-9,123,,,3.612e6
124,MC,20e-9,124,,,3.778e6
125,MC,20e-9,125,,,3.337e6
126,MC,20e-9,126,,,3.239e6
127,MC,20e-9,127,,,3.312e6
128,MC,20e-9,128,,,3.679e6
129,MC,20e-9,129,,,3.219e6
130,MC,20e-9,130,,,3.417e6
131,MC,20e-9,131,,,3.72e6
132,MC,20e-9,132,,,3.089e6
133,MC,20e-9,133,,,4.085e6
134,MC,20e-9,134,,,2.999e6
135,MC,20e-9,135,,,3.518e6
136,MC,20e-9,136,,,3.014e6
137,MC,20e-9,137,,,4.082e6
138,MC,20e-9,138,,,3.069e6
139,MC,20e-9,139,,,3.51e6
140,MC,20e-9,140,,,3.796e6
141,MC,20e-9,141,,,4.046e6
142,MC,20e-9,142,,,3.344e6
143,MC,20e-9,143,,,3.699e6
144,MC,20e-9,144,,,3.488e6
145,MC,20e-9,145,,,3.446e6
146,MC,20e-9,146,,,3.9e6
147,MC,20e-9,147,,,3.799e6
148,MC,20e-9,148,,,3.428e6
149,MC,20e-9,149,,,3.252e6
150,MC,20e-9,150,,,3.636e6
151,MC,20e-9,151,,,3.56e6
152,MC,20e-9,152,,,3.477e6
153,MC,20e-9,153,,,4.063e6
154,MC,20e-9,154,,,3.566e6
155,MC,20e-9,155,,,3.477e6
156,MC,20e-9,156,,,3.447e6
157,MC,20e-9,157,,,3.39e6
158,MC,20e-9,158,,,3.713e6
159,MC,20e-9,159,,,3.675e6
160,MC,20e-9,160,,,3.395e6
161,MC,20e-9,161,,,3.466e6
162,MC,20e-9,162,,,3.844e6
163,MC,20e-9,163,,,3e6
164,MC,20e-9,164,,,3.765e6
165,MC,20e-9,165,,,3.416e6
166,MC,20e-9,166,,,3.37e6
167,MC,20e-9,167,,,3.761e6
168,MC,20e-9,168,,,3.818e6
169,MC,20e-9,169,,,2.802e6
170,MC,20e-9,170,,,3.384e6
171,MC,20e-9,171,,,3.325e6
172,MC,20e-9,172,,,3.467e6
173,MC,20e-9,173,,,3.57e6
174,MC,20e-9,174,,,4.038e6
175,MC,20e-9,175,,,3.04e6
176,MC,20e-9,176,,,3.833e6
177,MC,20e-9,177,,,3.385e6
178,MC,20e-9,178,,,3.556e6
179,MC,20e-9,179,,,3.183e6
180,MC,20e-9,180,,,3.628e6
181,MC,20e-9,181,,,4.302e6
182,MC,20e-9,182,,,3.28e6
183,MC,20e-9,183,,,3.37e6
184,MC,20e-9,184,,,3.534e6
185,MC,20e-9,185,,,4.061e6
186,MC,20e-9,186,,,3.027e6
187,MC,20e-9,187,,,3.239e6
188,MC,20e-9,188,,,4.384e6
189,MC,20e-9,189,,,3.297e6
190,MC,20e-9,190,,,3.504e6
191,MC,20e-9,191,,,2.971e6
192,MC,20e-9,192,,,3.038e6
193,MC,20e-9,193,,,3.513e6
194,MC,20e-9,194,,,3.543e6
195,MC,20e-9,195,,,3.482e6
196,MC,20e-9,196,,,3.356e6
197,MC,20e-9,197,,,3.806e6
198,MC,20e-9,198,,,4.688e6
199,MC,20e-9,199,,,3.305e6
200,MC,20e-9,200,,,3.32e6
201,MC,25.79e-9,1,,,5.332e6
202,MC,25.79e-9,2,,,4.355e6
203,MC,25.79e-9,3,,,4.881e6
204,MC,25.79e-9,4,,,4.367e6
205,MC,25.79e-9,5,,,4.881e6
206,MC,25.79e-9,6,,,3.754e6
207,MC,25.79e-9,7,,,4.649e6
208,MC,25.79e-9,8,,,4.349e6
209,MC,25.79e-9,9,,,4.819e6
210,MC,25.79e-9,10,,,5.408e6
211,MC,25.79e-9,11,,,3.755e6
212,MC,25.79e-9,12,,,4.025e6
213,MC,25.79e-9,13,,,5.481e6
214,MC,25.79e-9,14,,,4.317e6
215,MC,25.79e-9,15,,,4.938e6
216,MC,25.79e-9,16,,,4.835e6
217,MC,25.79e-9,17,,,4.771e6
218,MC,25.79e-9,18,,,3.431e6
219,MC,25.79e-9,19,,,4.75e6
220,MC,25.79e-9,20,,,4.439e6
221,MC,25.79e-9,21,,,4.601e6
222,MC,25.79e-9,22,,,4.159e6
223,MC,25.79e-9,23,,,4.638e6
224,MC,25.79e-9,24,,,5.946e6
225,MC,25.79e-9,25,,,4.66e6
226,MC,25.79e-9,26,,,4.336e6
227,MC,25.79e-9,27,,,4.621e6
228,MC,25.79e-9,28,,,4.883e6
229,MC,25.79e-9,29,,,4.822e6
230,MC,25.79e-9,30,,,3.563e6
231,MC,25.79e-9,31,,,4.816e6
232,MC,25.79e-9,32,,,4.29e6
233,MC,25.79e-9,33,,,5.814e6
234,MC,25.79e-9,34,,,5.266e6
235,MC,25.79e-9,35,,,4.029e6
236,MC,25.79e-9,36,,,4.67e6
237,MC,25.79e-9,37,,,4.016e6
238,MC,25.79e-9,38,,,4.408e6
239,MC,25.79e-9,39,,,4.383e6
240,MC,25.79e-9,40,,,4.585e6
241,MC,25.79e-9,41,,,4.785e6
242,MC,25.79e-9,42,,,4.362e6
243,MC,25.79e-9,43,,,4.238e6
244,MC,25.79e-9,44,,,4.215e6
245,MC,25.79e-9,45,,,5.52e6
246,MC,25.79e-9,46,,,5.113e6
247,MC,25.79e-9,47,,,3.858e6
248,MC,25.79e-9,48,,,5.293e6
249,MC,25.79e-9,49,,,4.12e6
250,MC,25.79e-9,50,,,4.52e6
251,MC,25.79e-9,51,,,5.204e6
252,MC,25.79e-9,52,,,4.847e6
253,MC,25.79e-9,53,,,4.4e6
254,MC,25.79e-9,54,,,4.684e6
255,MC,25.79e-9,55,,,4.415e6
256,MC,25.79e-9,56,,,4.976e6
257,MC,25.79e-9,57,,,3.636e6
258,MC,25.79e-9,58,,,4.955e6
259,MC,25.79e-9,59,,,4.44e6
260,MC,25.79e-9,60,,,5.618e6
261,MC,25.79e-9,61,,,4.213e6
262,MC,25.79e-9,62,,,4.664e6
263,MC,25.79e-9,63,,,3.707e6
264,MC,25.79e-9,64,,,4.44e6
265,MC,25.79e-9,65,,,4.642e6
266,MC,25.79e-9,66,,,4.465e6
267,MC,25.79e-9,67,,,4.82e6
268,MC,25.79e-9,68,,,4.521e6
269,MC,25.79e-9,69,,,4.813e6
270,MC,25.79e-9,70,,,3.864e6
271,MC,25.79e-9,71,,,4.551e6
272,MC,25.79e-9,72,,,4.469e6
273,MC,25.79e-9,73,,,5.003e6
274,MC,25.79e-9,74,,,4.898e6
275,MC,25.79e-9,75,,,4.599e6
276,MC,25.79e-9,76,,,4.868e6
277,MC,25.79e-9,77,,,4.648e6
278,MC,25.79e-9,78,,,4.527e6
279,MC,25.79e-9,79,,,4.936e6
280,MC,25.79e-9,80,,,4.084e6
281,MC,25.79e-9,81,,,5.419e6
282,MC,25.79e-9,82,,,5.383e6
283,MC,25.79e-9,83,,,4.861e6
284,MC,25.79e-9,84,,,4.236e6
285,MC,25.79e-9,85,,,4.058e6
286,MC,25.79e-9,86,,,4.25e6
287,MC,25.79e-9,87,,,5.361e6
288,MC,25.79e-9,88,,,4.111e6
289,MC,25.79e-9,89,,,4.116e6
290,MC,25.79e-9,90,,,4.297e6
291,MC,25.79e-9,91,,,5.446e6
292,MC,25.79e-9,92,,,4.164e6
293,MC,25.79e-9,93,,,4.625e6
294,MC,25.79e-9,94,,,5.192e6
295,MC,25.79e-9,95,,,3.675e6
296,MC,25.79e-9,96,,,4.79e6
297,MC,25.79e-9,97,,,3.574e6
298,MC,25.79e-9,98,,,5.27e6
299,MC,25.79e-9,99,,,4.927e6
300,MC,25.79e-9,100,,,4.326e6
301,MC,25.79e-9,101,,,4.452e6
302,MC,25.79e-9,102,,,4.752e6
303,MC,25.79e-9,103,,,4.677e6
304,MC,25.79e-9,104,,,4.467e6
305,MC,25.79e-9,105,,,4.707e6
306,MC,25.79e-9,106,,,4.892e6
307,MC,25.79e-9,107,,,5.03e6
308,MC,25.79e-9,108,,,4.911e6
309,MC,25.79e-9,109,,,3.772e6
310,MC,25.79e-9,110,,,5.711e6
311,MC,25.79e-9,111,,,4.257e6
312,MC,25.79e-9,112,,,4.964e6
