Point,Corner,Iinput,mc_iteration,Pass/Fail,/I9/PLUS,/I6/PLUS,delay_switch
1,mc_corner,0,1,,,,3.844e-9
2,mc_corner,0,2,,,,3.818e-9
3,mc_corner,0,3,,,,3.641e-9
4,mc_corner,0,4,,,,3.861e-9
5,mc_corner,0,5,,,,3.695e-9
6,mc_corner,0,6,,,,3.86e-9
7,mc_corner,0,7,,,,3.998e-9
8,mc_corner,0,8,,,,3.888e-9
9,mc_corner,0,9,,,,3.713e-9
10,mc_corner,0,10,,,,3.72e-9
11,mc_corner,0,11,,,,3.674e-9
12,mc_corner,0,12,,,,3.82e-9
13,mc_corner,0,13,,,,3.874e-9
14,mc_corner,0,14,,,,3.841e-9
15,mc_corner,0,15,,,,3.668e-9
16,mc_corner,0,16,,,,3.899e-9
17,mc_corner,0,17,,,,3.726e-9
18,mc_corner,0,18,,,,3.776e-9
19,mc_corner,0,19,,,,3.801e-9
20,mc_corner,0,20,,,,3.695e-9
21,mc_corner,0,21,,,,3.849e-9
22,mc_corner,0,22,,,,3.642e-9
23,mc_corner,0,23,,,,3.769e-9
24,mc_corner,0,24,,,,3.647e-9
25,mc_corner,0,25,,,,3.863e-9
26,mc_corner,0,26,,,,3.701e-9
27,mc_corner,0,27,,,,3.778e-9
28,mc_corner,0,28,,,,3.943e-9
29,mc_corner,0,29,,,,3.731e-9
30,mc_corner,0,30,,,,3.777e-9
31,mc_corner,0,31,,,,3.809e-9
32,mc_corner,0,32,,,,3.712e-9
33,mc_corner,0,33,,,,3.723e-9
34,mc_corner,0,34,,,,3.863e-9
35,mc_corner,0,35,,,,3.8e-9
36,mc_corner,0,36,,,,3.607e-9
37,mc_corner,0,37,,,,3.817e-9
38,mc_corner,0,38,,,,3.73e-9
39,mc_corner,0,39,,,,3.898e-9
40,mc_corner,0,40,,,,3.657e-9
41,mc_corner,0,41,,,,3.809e-9
42,mc_corner,0,42,,,,3.751e-9
43,mc_corner,0,43,,,,3.949e-9
44,mc_corner,0,44,,,,3.735e-9
45,mc_corner,0,45,,,,3.764e-9
46,mc_corner,0,46,,,,3.932e-9
47,mc_corner,0,47,,,,3.825e-9
48,mc_corner,0,48,,,,3.775e-9
49,mc_corner,0,49,,,,3.73e-9
50,mc_corner,0,50,,,,3.761e-9
51,mc_corner,0,51,,,,3.819e-9
52,mc_corner,0,52,,,,3.764e-9
53,mc_corner,0,53,,,,4.111e-9
54,mc_corner,0,54,,,,3.813e-9
55,mc_corner,0,55,,,,3.743e-9
56,mc_corner,0,56,,,,3.769e-9
57,mc_corner,0,57,,,,3.714e-9
58,mc_corner,0,58,,,,3.815e-9
59,mc_corner,0,59,,,,3.754e-9
60,mc_corner,0,60,,,,3.772e-9
61,mc_corner,0,61,,,,3.741e-9
62,mc_corner,0,62,,,,3.763e-9
63,mc_corner,0,63,,,,4.078e-9
64,mc_corner,0,64,,,,3.587e-9
65,mc_corner,0,65,,,,3.789e-9
66,mc_corner,0,66,,,,3.76e-9
67,mc_corner,0,67,,,,3.825e-9
68,mc_corner,0,68,,,,3.714e-9
69,mc_corner,0,69,,,,3.78e-9
70,mc_corner,0,70,,,,3.991e-9
71,mc_corner,0,71,,,,3.758e-9
72,mc_corner,0,72,,,,3.728e-9
73,mc_corner,0,73,,,,3.783e-9
74,mc_corner,0,74,,,,3.975e-9
75,mc_corner,0,75,,,,3.762e-9
76,mc_corner,0,76,,,,3.6e-9
77,mc_corner,0,77,,,,3.795e-9
78,mc_corner,0,78,,,,3.77e-9
79,mc_corner,0,79,,,,3.837e-9
80,mc_corner,0,80,,,,3.818e-9
81,mc_corner,0,81,,,,3.965e-9
82,mc_corner,0,82,,,,3.761e-9
83,mc_corner,0,83,,,,3.717e-9
84,mc_corner,0,84,,,,3.857e-9
85,mc_corner,0,85,,,,3.697e-9
86,mc_corner,0,86,,,,3.775e-9
87,mc_corner,0,87,,,,3.826e-9
88,mc_corner,0,88,,,,3.9e-9
89,mc_corner,0,89,,,,3.72e-9
90,mc_corner,0,90,,,,3.792e-9
91,mc_corner,0,91,,,,3.865e-9
92,mc_corner,0,92,,,,3.837e-9
93,mc_corner,0,93,,,,3.645e-9
94,mc_corner,0,94,,,,3.802e-9
95,mc_corner,0,95,,,,3.773e-9
96,mc_corner,0,96,,,,3.832e-9
97,mc_corner,0,97,,,,3.804e-9
98,mc_corner,0,98,,,,3.742e-9
99,mc_corner,0,99,,,,4.114e-9
100,mc_corner,0,100,,,,3.753e-9
101,mc_corner,0,101,,,,3.928e-9
102,mc_corner,0,102,,,,3.807e-9
103,mc_corner,0,103,,,,3.652e-9
104,mc_corner,0,104,,,,3.756e-9
105,mc_corner,0,105,,,,3.958e-9
106,mc_corner,0,106,,,,3.813e-9
107,mc_corner,0,107,,,,3.645e-9
108,mc_corner,0,108,,,,3.843e-9
109,mc_corner,0,109,,,,3.799e-9
110,mc_corner,0,110,,,,3.732e-9
111,mc_corner,0,111,,,,3.689e-9
112,mc_corner,0,112,,,,3.69e-9
113,mc_corner,0,113,,,,3.866e-9
114,mc_corner,0,114,,,,3.642e-9
115,mc_corner,0,115,,,,3.82e-9
116,mc_corner,0,116,,,,3.908e-9
