Point,Corner,i,mc_iteration,Pass/Fail,/OUT,FREQ,/V0/PLUS,"(-1.2 * average(IT(""/R0/PLUS"")))",/R0/PLUS
1,C0,2.00E-08,1,,,2.73E+06,,-1.22E-05,
2,C0,2.00E-08,2,,,2.73E+06,,-1.24E-05,
3,C0,2.00E-08,3,,,2.73E+06,,-9.35E-06,
4,C0,2.00E-08,4,,,2.73E+06,,-1.33E-05,
5,C0,2.00E-08,5,,,2.73E+06,,-1.01E-05,
6,C0,2.00E-08,6,,,2.73E+06,,-1.36E-05,
7,C0,2.00E-08,7,,,2.61E+06,,-1.40E-05,
8,C0,2.00E-08,8,,,2.73E+06,,-1.39E-05,
9,C0,2.00E-08,9,,,2.73E+06,,-1.02E-05,
10,C0,2.00E-08,10,,,2.73E+06,,-9.86E-06,
11,C0,2.00E-08,11,,,2.73E+06,,-9.88E-06,
12,C0,2.00E-08,12,,,2.73E+06,,-1.28E-05,
13,C0,2.00E-08,13,,,2.73E+06,,-1.27E-05,
14,C0,2.00E-08,14,,,2.73E+06,,-1.29E-05,
15,C0,2.00E-08,15,,,2.73E+06,,-9.84E-06,
16,C0,2.00E-08,16,,,2.73E+06,,-1.39E-05,
17,C0,2.00E-08,17,,,2.73E+06,,-1.03E-05,
18,C0,2.00E-08,18,,,2.73E+06,,-1.20E-05,
19,C0,2.00E-08,19,,,2.73E+06,,-1.18E-05,
20,C0,2.00E-08,20,,,2.73E+06,,-9.68E-06,
21,C0,2.00E-08,21,,,2.73E+06,,-1.30E-05,
22,C0,2.00E-08,22,,,2.73E+06,,-1.10E-05,
23,C0,2.00E-08,23,,,2.73E+06,,-1.12E-05,
24,C0,2.00E-08,24,,,2.73E+06,,-9.20E-06,
25,C0,2.00E-08,25,,,2.73E+06,,-1.38E-05,
26,C0,2.00E-08,26,,,2.73E+06,,-1.10E-05,
27,C0,2.00E-08,27,,,2.73E+06,,-1.14E-05,
28,C0,2.00E-08,28,,,2.86E+06,,-1.60E-05,
29,C0,2.00E-08,29,,,2.73E+06,,-1.03E-05,
30,C0,2.00E-08,30,,,2.73E+06,,-1.20E-05,
31,C0,2.00E-08,31,,,2.73E+06,,-1.19E-05,
32,C0,2.00E-08,32,,,2.73E+06,,-1.05E-05,
33,C0,2.00E-08,33,,,2.73E+06,,-9.91E-06,
34,C0,2.00E-08,34,,,2.73E+06,,-1.28E-05,
35,C0,2.00E-08,35,,,2.73E+06,,-1.23E-05,
36,C0,2.00E-08,36,,,2.73E+06,,-9.31E-06,
37,C0,2.00E-08,37,,,2.73E+06,,-1.26E-05,
38,C0,2.00E-08,38,,,2.73E+06,,-1.07E-05,
39,C0,2.00E-08,39,,,2.73E+06,,-1.38E-05,
40,C0,2.00E-08,40,,,2.73E+06,,-9.59E-06,
