Point,Corner,i,mc_iteration,Pass/Fail,FREQ,/OUT,"(1 * average(IT(""/R0/PLUS"")))"
1,monte carlo,2.00E-08,1,,3.59E+06,,1.60E-06
2,monte carlo,2.00E-08,2,,3.29E+06,,1.85E-06
3,monte carlo,2.00E-08,3,,3.58E+06,,2.80E-06
4,monte carlo,2.00E-08,4,,3.28E+06,,1.76E-06
5,monte carlo,2.00E-08,5,,3.55E+06,,2.60E-06
6,monte carlo,2.00E-08,6,,3.22E+06,,2.79E-06
7,monte carlo,2.00E-08,7,,3.34E+06,,8.97E-07
8,monte carlo,2.00E-08,8,,3.26E+06,,1.67E-06
9,monte carlo,2.00E-08,9,,3.51E+06,,2.43E-06
10,monte carlo,2.00E-08,10,,3.64E+06,,1.65E-06
11,monte carlo,2.00E-08,11,,3.24E+06,,3.24E-06
12,monte carlo,2.00E-08,12,,3.22E+06,,2.51E-06
13,monte carlo,2.00E-08,13,,3.64E+06,,1.56E-06
14,monte carlo,2.00E-08,14,,3.26E+06,,1.73E-06
15,monte carlo,2.00E-08,15,,3.60E+06,,2.80E-06
16,monte carlo,2.00E-08,16,,3.44E+06,,1.64E-06
17,monte carlo,2.00E-08,17,,3.47E+06,,2.03E-06
18,monte carlo,2.00E-08,18,,2.94E+06,,2.84E-06
19,monte carlo,2.00E-08,19,,3.44E+06,,1.88E-06
20,monte carlo,2.00E-08,20,,3.35E+06,,1.74E-06
21,monte carlo,2.00E-08,21,,3.36E+06,,1.63E-06
22,monte carlo,2.00E-08,22,,3.18E+06,,5.60E-06
23,monte carlo,2.00E-08,23,,3.41E+06,,1.90E-06
24,monte carlo,2.00E-08,24,,3.85E+06,,2.41E-06
25,monte carlo,2.00E-08,25,,3.36E+06,,1.45E-06
26,monte carlo,2.00E-08,26,,3.47E+06,,4.18E-06
27,monte carlo,2.00E-08,27,,3.38E+06,,1.63E-06
28,monte carlo,2.00E-08,28,,3.42E+06,,1.31E-06
29,monte carlo,2.00E-08,29,,3.47E+06,,1.78E-06
30,monte carlo,2.00E-08,30,,2.97E+06,,2.40E-06
31,monte carlo,2.00E-08,31,,3.45E+06,,1.73E-06
32,monte carlo,2.00E-08,32,,3.34E+06,,2.85E-06
33,monte carlo,2.00E-08,33,,3.78E+06,,1.76E-06
34,monte carlo,2.00E-08,34,,3.56E+06,,1.37E-06
35,monte carlo,2.00E-08,35,,3.19E+06,,2.12E-06
36,monte carlo,2.00E-08,36,,3.57E+06,,3.73E-06
37,monte carlo,2.00E-08,37,,3.07E+06,,1.59E-06
38,monte carlo,2.00E-08,38,,3.35E+06,,2.31E-06
39,monte carlo,2.00E-08,39,,3.30E+06,,1.98E-06
40,monte carlo,2.00E-08,40,,3.47E+06,,2.94E-06
41,monte carlo,2.00E-08,41,,3.50E+06,,2.44E-06
42,monte carlo,2.00E-08,42,,3.32E+06,,2.21E-06
43,monte carlo,2.00E-08,43,,3.25E+06,,1.95E-06
44,monte carlo,2.00E-08,44,,3.29E+06,,2.60E-06
45,monte carlo,2.00E-08,45,,3.67E+06,,1.59E-06
46,monte carlo,2.00E-08,46,,3.51E+06,,1.10E-06
47,monte carlo,2.00E-08,47,,3.05E+06,,2.04E-06
48,monte carlo,2.00E-08,48,,3.60E+06,,2.00E-06
49,monte carlo,2.00E-08,49,,3.33E+06,,3.55E-06
50,monte carlo,2.00E-08,50,,3.39E+06,,2.39E-06
51,monte carlo,2.00E-08,51,,3.57E+06,,1.08E-06
52,monte carlo,2.00E-08,52,,3.51E+06,,2.26E-06
53,monte carlo,2.00E-08,53,,3.23E+06,,1.07E-06
54,monte carlo,2.00E-08,54,,3.39E+06,,1.28E-06
55,monte carlo,2.00E-08,55,,3.41E+06,,3.01E-06
56,monte carlo,2.00E-08,56,,3.56E+06,,2.13E-06
57,monte carlo,2.00E-08,57,,3.26E+06,,3.90E-06
58,monte carlo,2.00E-08,58,,3.48E+06,,1.23E-06
59,monte carlo,2.00E-08,59,,3.38E+06,,2.63E-06
60,monte carlo,2.00E-08,60,,3.70E+06,,2.01E-06
61,monte carlo,2.00E-08,61,,3.34E+06,,3.11E-06
62,monte carlo,2.00E-08,62,,3.44E+06,,2.30E-06
63,monte carlo,2.00E-08,63,,2.96E+06,,1.54E-06
64,monte carlo,2.00E-08,64,,3.44E+06,,3.19E-06
65,monte carlo,2.00E-08,65,,3.43E+06,,2.22E-06
66,monte carlo,2.00E-08,66,,3.44E+06,,3.30E-06
67,monte carlo,2.00E-08,67,,3.44E+06,,1.48E-06
68,monte carlo,2.00E-08,68,,3.51E+06,,3.69E-06
69,monte carlo,2.00E-08,69,,3.44E+06,,1.53E-06
70,monte carlo,2.00E-08,70,,3.02E+06,,1.26E-06
71,monte carlo,2.00E-08,71,,3.39E+06,,2.18E-06
72,monte carlo,2.00E-08,72,,3.43E+06,,3.08E-06
73,monte carlo,2.00E-08,73,,3.52E+06,,1.49E-06
74,monte carlo,2.00E-08,74,,3.48E+06,,1.71E-06
75,monte carlo,2.00E-08,75,,3.39E+06,,1.99E-06
76,monte carlo,2.00E-08,76,,3.54E+06,,2.04E-06
77,monte carlo,2.00E-08,77,,3.41E+06,,1.99E-06
78,monte carlo,2.00E-08,78,,3.44E+06,,2.97E-06
79,monte carlo,2.00E-08,79,,3.47E+06,,1.36E-06
