Point,Corner,Iinput,temperature,toplevel.scs,Pass/Fail,/I9/PLUS,/I6/PLUS,delay_switch
1,nom,0,27,tt_lib,,,,3.784e-9
1,C0,0,150,ss_lib,,,,3.753e-9
1,C1,0,27,sf_lib,,,,3.597e-9
1,C2,0,27,fs_lib,,,,4.004e-9
1,C3,0,-40,ff_lib,,,,3.856e-9
2,nom,256.4e-9,27,tt_lib,,,,4.195e-9
2,C0,256.4e-9,150,ss_lib,,,,4.353e-9
2,C1,256.4e-9,27,sf_lib,,,,4.004e-9
2,C2,256.4e-9,27,fs_lib,,,,4.416e-9
2,C3,256.4e-9,-40,ff_lib,,,,4.131e-9
3,nom,512.8e-9,27,tt_lib,,,,4.903e-9
3,C0,512.8e-9,150,ss_lib,,,,5.264e-9
3,C1,512.8e-9,27,sf_lib,,,,4.65e-9
3,C2,512.8e-9,27,fs_lib,,,,5.174e-9
3,C3,512.8e-9,-40,ff_lib,,,,4.687e-9
4,nom,769.2e-9,27,tt_lib,,,,6.001e-9
4,C0,769.2e-9,150,ss_lib,,,,6.407e-9
4,C1,769.2e-9,27,sf_lib,,,,5.687e-9
4,C2,769.2e-9,27,fs_lib,,,,6.31e-9
4,C3,769.2e-9,-40,ff_lib,,,,5.763e-9
5,nom,1.026e-6,27,tt_lib,,,,7.16e-9
5,C0,1.026e-6,150,ss_lib,,,,7.574e-9
5,C1,1.026e-6,27,sf_lib,,,,6.841e-9
5,C2,1.026e-6,27,fs_lib,,,,7.486e-9
5,C3,1.026e-6,-40,ff_lib,,,,6.946e-9
6,nom,1.282e-6,27,tt_lib,,,,8.329e-9
6,C0,1.282e-6,150,ss_lib,,,,8.743e-9
6,C1,1.282e-6,27,sf_lib,,,,7.995e-9
6,C2,1.282e-6,27,fs_lib,,,,8.66e-9
6,C3,1.282e-6,-40,ff_lib,,,,8.122e-9
7,nom,1.538e-6,27,tt_lib,,,,9.486e-9
7,C0,1.538e-6,150,ss_lib,,,,9.909e-9
7,C1,1.538e-6,27,sf_lib,,,,9.144e-9
7,C2,1.538e-6,27,fs_lib,,,,9.826e-9
7,C3,1.538e-6,-40,ff_lib,,,,9.292e-9
8,nom,1.795e-6,27,tt_lib,,,,10.64e-9
8,C0,1.795e-6,150,ss_lib,,,,11.08e-9
8,C1,1.795e-6,27,sf_lib,,,,10.29e-9
8,C2,1.795e-6,27,fs_lib,,,,10.99e-9
8,C3,1.795e-6,-40,ff_lib,,,,10.46e-9
9,nom,2.051e-6,27,tt_lib,,,,11.8e-9
9,C0,2.051e-6,150,ss_lib,,,,12.23e-9
9,C1,2.051e-6,27,sf_lib,,,,11.44e-9
9,C2,2.051e-6,27,fs_lib,,,,12.15e-9
9,C3,2.051e-6,-40,ff_lib,,,,11.63e-9
10,nom,2.308e-6,27,tt_lib,,,,12.95e-9
10,C0,2.308e-6,150,ss_lib,,,,13.38e-9
10,C1,2.308e-6,27,sf_lib,,,,12.58e-9
10,C2,2.308e-6,27,fs_lib,,,,13.3e-9
10,C3,2.308e-6,-40,ff_lib,,,,12.79e-9
11,nom,2.564e-6,27,tt_lib,,,,14.1e-9
11,C0,2.564e-6,150,ss_lib,,,,14.53e-9
11,C1,2.564e-6,27,sf_lib,,,,13.72e-9
11,C2,2.564e-6,27,fs_lib,,,,14.46e-9
11,C3,2.564e-6,-40,ff_lib,,,,13.95e-9
12,nom,2.821e-6,27,tt_lib,,,,15.24e-9
12,C0,2.821e-6,150,ss_lib,,,,15.69e-9
12,C1,2.821e-6,27,sf_lib,,,,14.86e-9
12,C2,2.821e-6,27,fs_lib,,,,15.61e-9
12,C3,2.821e-6,-40,ff_lib,,,,15.1e-9
13,nom,3.077e-6,27,tt_lib,,,,16.38e-9
13,C0,3.077e-6,150,ss_lib,,,,16.82e-9
13,C1,3.077e-6,27,sf_lib,,,,15.99e-9
13,C2,3.077e-6,27,fs_lib,,,,16.75e-9
13,C3,3.077e-6,-40,ff_lib,,,,16.25e-9
14,nom,3.333e-6,27,tt_lib,,,,17.51e-9
14,C0,3.333e-6,150,ss_lib,,,,17.96e-9
14,C1,3.333e-6,27,sf_lib,,,,17.12e-9
14,C2,3.333e-6,27,fs_lib,,,,17.9e-9
14,C3,3.333e-6,-40,ff_lib,,,,17.4e-9
15,nom,3.59e-6,27,tt_lib,,,,18.64e-9
15,C0,3.59e-6,150,ss_lib,,,,19.09e-9
15,C1,3.59e-6,27,sf_lib,,,,18.25e-9
15,C2,3.59e-6,27,fs_lib,,,,19.03e-9
15,C3,3.59e-6,-40,ff_lib,,,,18.54e-9
16,nom,3.846e-6,27,tt_lib,,,,19.77e-9
16,C0,3.846e-6,150,ss_lib,,,,20.24e-9
16,C1,3.846e-6,27,sf_lib,,,,19.38e-9
16,C2,3.846e-6,27,fs_lib,,,,20.17e-9
16,C3,3.846e-6,-40,ff_lib,,,,19.69e-9
17,nom,4.103e-6,27,tt_lib,,,,20.91e-9
17,C0,4.103e-6,150,ss_lib,,,,21.36e-9
17,C1,4.103e-6,27,sf_lib,,,,20.5e-9
17,C2,4.103e-6,27,fs_lib,,,,21.3e-9
17,C3,4.103e-6,-40,ff_lib,,,,20.83e-9
18,nom,4.359e-6,27,tt_lib,,,,22.03e-9
18,C0,4.359e-6,150,ss_lib,,,,22.49e-9
18,C1,4.359e-6,27,sf_lib,,,,21.63e-9
18,C2,4.359e-6,27,fs_lib,,,,22.44e-9
18,C3,4.359e-6,-40,ff_lib,,,,21.97e-9
19,nom,4.615e-6,27,tt_lib,,,,23.15e-9
19,C0,4.615e-6,150,ss_lib,,,,23.61e-9
19,C1,4.615e-6,27,sf_lib,,,,22.75e-9
19,C2,4.615e-6,27,fs_lib,,,,23.56e-9
19,C3,4.615e-6,-40,ff_lib,,,,23.1e-9
20,nom,4.872e-6,27,tt_lib,,,,24.28e-9
20,C0,4.872e-6,150,ss_lib,,,,24.73e-9
20,C1,4.872e-6,27,sf_lib,,,,23.87e-9
20,C2,4.872e-6,27,fs_lib,,,,24.68e-9
20,C3,4.872e-6,-40,ff_lib,,,,24.23e-9
21,nom,5.128e-6,27,tt_lib,,,,25.4e-9
21,C0,5.128e-6,150,ss_lib,,,,25.86e-9
21,C1,5.128e-6,27,sf_lib,,,,24.98e-9
21,C2,5.128e-6,27,fs_lib,,,,25.81e-9
21,C3,5.128e-6,-40,ff_lib,,,,25.36e-9
22,nom,5.385e-6,27,tt_lib,,,,26.52e-9
22,C0,5.385e-6,150,ss_lib,,,,26.97e-9
22,C1,5.385e-6,27,sf_lib,,,,26.1e-9
22,C2,5.385e-6,27,fs_lib,,,,26.93e-9
22,C3,5.385e-6,-40,ff_lib,,,,26.49e-9
23,nom,5.641e-6,27,tt_lib,,,,27.63e-9
23,C0,5.641e-6,150,ss_lib,,,,28.1e-9
23,C1,5.641e-6,27,sf_lib,,,,27.21e-9
23,C2,5.641e-6,27,fs_lib,,,,28.06e-9
23,C3,5.641e-6,-40,ff_lib,,,,27.62e-9
24,nom,5.897e-6,27,tt_lib,,,,28.75e-9
24,C0,5.897e-6,150,ss_lib,,,,29.21e-9
24,C1,5.897e-6,27,sf_lib,,,,28.32e-9
24,C2,5.897e-6,27,fs_lib,,,,29.17e-9
24,C3,5.897e-6,-40,ff_lib,,,,28.74e-9
25,nom,6.154e-6,27,tt_lib,,,,29.85e-9
25,C0,6.154e-6,150,ss_lib,,,,30.32e-9
25,C1,6.154e-6,27,sf_lib,,,,29.43e-9
25,C2,6.154e-6,27,fs_lib,,,,30.28e-9
25,C3,6.154e-6,-40,ff_lib,,,,29.87e-9
26,nom,6.41e-6,27,tt_lib,,,,30.97e-9
26,C0,6.41e-6,150,ss_lib,,,,31.42e-9
26,C1,6.41e-6,27,sf_lib,,,,30.54e-9
26,C2,6.41e-6,27,fs_lib,,,,31.4e-9
26,C3,6.41e-6,-40,ff_lib,,,,30.99e-9
27,nom,6.667e-6,27,tt_lib,,,,32.08e-9
27,C0,6.667e-6,150,ss_lib,,,,32.55e-9
27,C1,6.667e-6,27,sf_lib,,,,31.65e-9
27,C2,6.667e-6,27,fs_lib,,,,32.51e-9
27,C3,6.667e-6,-40,ff_lib,,,,32.11e-9
28,nom,6.923e-6,27,tt_lib,,,,33.19e-9
28,C0,6.923e-6,150,ss_lib,,,,33.65e-9
28,C1,6.923e-6,27,sf_lib,,,,32.75e-9
28,C2,6.923e-6,27,fs_lib,,,,33.63e-9
28,C3,6.923e-6,-40,ff_lib,,,,33.23e-9
29,nom,7.179e-6,27,tt_lib,,,,34.29e-9
29,C0,7.179e-6,150,ss_lib,,,,34.76e-9
29,C1,7.179e-6,27,sf_lib,,,,33.86e-9
29,C2,7.179e-6,27,fs_lib,,,,34.74e-9
29,C3,7.179e-6,-40,ff_lib,,,,34.34e-9
30,nom,7.436e-6,27,tt_lib,,,,35.39e-9
30,C0,7.436e-6,150,ss_lib,,,,35.87e-9
30,C1,7.436e-6,27,sf_lib,,,,34.96e-9
30,C2,7.436e-6,27,fs_lib,,,,35.84e-9
30,C3,7.436e-6,-40,ff_lib,,,,35.45e-9
31,nom,7.692e-6,27,tt_lib,,,,36.51e-9
31,C0,7.692e-6,150,ss_lib,,,,36.97e-9
31,C1,7.692e-6,27,sf_lib,,,,36.06e-9
31,C2,7.692e-6,27,fs_lib,,,,36.95e-9
31,C3,7.692e-6,-40,ff_lib,,,,36.57e-9
32,nom,7.949e-6,27,tt_lib,,,,37.61e-9
32,C0,7.949e-6,150,ss_lib,,,,38.07e-9
32,C1,7.949e-6,27,sf_lib,,,,37.17e-9
32,C2,7.949e-6,27,fs_lib,,,,38.05e-9
32,C3,7.949e-6,-40,ff_lib,,,,37.68e-9
33,nom,8.205e-6,27,tt_lib,,,,38.71e-9
33,C0,8.205e-6,150,ss_lib,,,,39.16e-9
33,C1,8.205e-6,27,sf_lib,,,,38.26e-9
33,C2,8.205e-6,27,fs_lib,,,,39.15e-9
33,C3,8.205e-6,-40,ff_lib,,,,38.8e-9
34,nom,8.462e-6,27,tt_lib,,,,39.81e-9
34,C0,8.462e-6,150,ss_lib,,,,40.27e-9
34,C1,8.462e-6,27,sf_lib,,,,39.36e-9
34,C2,8.462e-6,27,fs_lib,,,,40.26e-9
34,C3,8.462e-6,-40,ff_lib,,,,39.9e-9
35,nom,8.718e-6,27,tt_lib,,,,40.91e-9
35,C0,8.718e-6,150,ss_lib,,,,41.35e-9
35,C1,8.718e-6,27,sf_lib,,,,40.46e-9
35,C2,8.718e-6,27,fs_lib,,,,41.36e-9
35,C3,8.718e-6,-40,ff_lib,,,,41.01e-9
36,nom,8.974e-6,27,tt_lib,,,,42e-9
36,C0,8.974e-6,150,ss_lib,,,,42.45e-9
36,C1,8.974e-6,27,sf_lib,,,,41.56e-9
36,C2,8.974e-6,27,fs_lib,,,,42.46e-9
36,C3,8.974e-6,-40,ff_lib,,,,42.12e-9
37,nom,9.231e-6,27,tt_lib,,,,43.1e-9
37,C0,9.231e-6,150,ss_lib,,,,43.55e-9
37,C1,9.231e-6,27,sf_lib,,,,42.65e-9
37,C2,9.231e-6,27,fs_lib,,,,43.56e-9
37,C3,9.231e-6,-40,ff_lib,,,,43.23e-9
38,nom,9.487e-6,27,tt_lib,,,,44.2e-9
