Iin,TT,SS,SF,FS,FF
2.00E-08,3285176.943,4595491.8,3749116.686,3266988.674,2473110.144
2.58E-08,4306142.827,5663091.905,4924547.191,4282297.298,3426807.806
3.32E-08,5535557.749,7571160.429,6355252.726,5509625.149,4585501.381
4.29E-08,7047803.649,9231654.624,8185318.862,7042438.48,6006154.671
5.53E-08,8941016.252,11983710.24,10327682.78,9031233.054,7822922.688
7.13E-08,11405362.84,15126543.25,13003913.93,11577389.7,10021413.36
9.19E-08,14592157.78,19492271.88,16404428.36,14883492.9,12976888.37
1.18E-07,18706820.33,23591144.95,20807017.93,19191793.34,16894027.98
1.53E-07,24080566.52,29174049.26,26444767.66,24812951.31,22119197.77
1.97E-07,31048215.35,36808097.39,33669807.02,32170309.74,29052851.54
2.54E-07,40163577.06,46713355.59,43011022.19,41841509.57,38264242.69
3.27E-07,52110950.41,59576812.34,55066375.82,54623425.71,50499926.97
4.22E-07,67686565.93,76223525.73,70701894.57,71438984.55,66763936.22
5.44E-07,88134741.65,97768688.87,91007977.18,93647222.73,88247364.53
7.02E-07,115059567.6,125743526.4,117591087.2,123169529.9,116792251.2
9.05E-07,150564091.9,162091599.8,152214338.3,162300476.7,154293803.9
1.17E-06,197005956.3,209052789.5,197107664.8,213464204.9,203844806
1.50E-06,257296446.5,269448339.1,254948950.7,280104498,268507503.1
1.94E-06,333891826.1,345761296.5,327667410.2,364879522,352368793.1
2.50E-06,429509121.6,440142001,417818466.6,470458187.4,459454832
