169_after_calib X,169_after_calib Y,188_after_calib X,188_after_calib Y,198_after_calib X,198_after_calib Y,24_after_calib X,24_after_calib Y,18_after_calib X,18_after_calib Y
2e-08,3024594.431771379,2e-08,3794569.691546469,2e-08,4027403.108279377,2e-08,4122085.947405291,2e-08,3174701.011786171
2.578658e-08,3848481.302014064,2.578658e-08,4940571.383497433,2.578658e-08,5043311.160774886,2.578658e-08,5373423.068603856,2.578658e-08,4211444.320530671
3.324738e-08,4999940.29752532,3.324738e-08,6331068.290706206,3.324738e-08,6574656.344658365,3.324738e-08,6861904.262692622,3.324738e-08,5459626.052790962
4.28668e-08,6423665.78262483,4.28668e-08,8080962.750474392,4.28668e-08,8267298.009113914,4.28668e-08,8615357.815626707,4.28668e-08,6939990.577288122
5.52694e-08,8255363.041564181,5.52694e-08,10183827.91475644,5.52694e-08,10402376.89492698,5.52694e-08,10758535.69612587,5.52694e-08,8786050.519899411
7.126043e-08,10589991.86142751,7.126043e-08,12912240.5855924,7.126043e-08,13103504.77205655,7.126043e-08,13428598.57875717,7.126043e-08,11196235.4913666
9.187812e-08,13601303.31131973,9.187812e-08,16380125.09011674,9.187812e-08,16523532.15415641,9.187812e-08,16882258.96661763,9.187812e-08,14336043.30414152
1.184611e-07,17517586.66750933,1.184611e-07,20841956.78801094,1.184611e-07,20957859.4866012,1.184611e-07,21285116.61503778,1.184611e-07,18410932.76405958
1.527353e-07,22612921.57199633,1.527353e-07,26568200.61073788,1.527353e-07,26624489.90941394,1.527353e-07,26987222.70012821,1.527353e-07,23723683.42399974
1.96926e-07,29254497.92980779,1.96926e-07,33973882.26138347,1.96926e-07,33906547.56587535,1.96926e-07,34306109.87494914,1.96926e-07,30643860.25196776
2.539024e-07,37926511.72764317,2.539024e-07,43464025.91512235,2.539024e-07,43256747.43005846,2.539024e-07,43738006.93739418,2.539024e-07,39704244.32720304
3.273637e-07,49362845.98072211,3.273637e-07,55761004.14050172,3.273637e-07,55334821.3866021,3.273637e-07,55971419.34016775,3.273637e-07,51552467.52994157
4.220795e-07,64380033.94021047,4.220795e-07,71658309.56380801,4.220795e-07,70957573.35450922,4.220795e-07,71770546.29824437,4.220795e-07,67118101.35886331
5.441992000000001e-07,84233704.53516605,5.441992000000001e-07,92380130.83483215,5.441992000000001e-07,91221914.6048643,5.441992000000001e-07,92257521.21513376,5.441992000000001e-07,87708515.52072865
7.016517e-07,110492484.5108823,7.016517e-07,119223363.3717343,7.016517e-07,117541927.6155055,7.016517e-07,118927071.109045,7.016517e-07,114782856.325628
9.046598000000001e-07,145142921.6429499,9.046598000000001e-07,154028298.9280778,9.046598000000001e-07,151679050.3684401,9.046598000000001e-07,153602726.6384001,9.046598000000001e-07,150736085.9746582
1.166404e-06,190823954.9732412,1.166404e-06,198563543.8062699,1.166404e-06,195477570.5585007,1.166404e-06,198672968.2381824,1.166404e-06,198276735.8189908
1.503878e-06,250757699.5970188,1.503878e-06,254977954.4731634,1.503878e-06,251507082.020546,1.503878e-06,256696956.753953,1.503878e-06,260824046.5600038
1.938993e-06,327778629.87115,1.938993e-06,325000607.330537,1.938993e-06,321467761.7220572,1.938993e-06,330532160.213945,1.938993e-06,342248824.6463395
2.5e-06,424357884.4036987,2.5e-06,410390921.5885212,2.5e-06,407015382.1596209,2.5e-06,422179863.5834901,2.5e-06,445777640.1540924
