Iin,Nom,Iin,SS,Iin,SF,Iin,FS,Iin,FF
1.06E-07,21480861.07,1.06E-07,26021549.27,1.06E-07,23317940.36,1.06E-07,20014881.47,1.06E-07,16994032.69
1.91E-07,37603932.9,1.91E-07,47766655.05,1.91E-07,40055432.67,1.91E-07,35540634.32,1.91E-07,30684274.64
2.77E-07,52118884.58,2.77E-07,68209147.37,2.77E-07,55042487.07,2.77E-07,49639388.77,2.77E-07,43658228.98
3.62E-07,65575884.4,3.62E-07,87302253.46,3.62E-07,68864961.02,3.62E-07,62680331.74,3.62E-07,55930196.35
4.48E-07,78192965.67,4.48E-07,105127483.4,4.48E-07,81851558.95,4.48E-07,74966472.95,4.48E-07,67711626.21
5.33E-07,90259846.6,5.33E-07,121903220.4,5.33E-07,94218053.4,5.33E-07,86707686.69,5.33E-07,79089652.51
6.19E-07,101875176.8,6.19E-07,137767982.5,6.19E-07,106095719.9,6.19E-07,97971169.37,6.19E-07,90116770.73
7.04E-07,113116319,7.04E-07,152768032,7.04E-07,117602319.3,7.04E-07,108876769.8,7.04E-07,100887123.5
7.90E-07,124085356.4,7.90E-07,167214252.8,7.90E-07,128726078.7,7.90E-07,119471212.8,7.90E-07,111425213.1
8.75E-07,134718425.2,8.75E-07,181104893.6,8.75E-07,139536206.7,8.75E-07,129830331.8,8.75E-07,121779211.2
9.61E-07,145131738.4,9.61E-07,194396225,9.61E-07,150157336.8,9.61E-07,139942569.3,9.61E-07,131907477.9
1.05E-06,155337713.3,1.05E-06,207335264,1.05E-06,160527789.5,1.05E-06,149865368.8,1.05E-06,141843042.6
1.13E-06,165370306.9,1.13E-06,219767012.2,1.13E-06,170703587.8,1.13E-06,159577236.7,1.13E-06,151660199.6
1.22E-06,175214140,1.22E-06,231945355.3,1.22E-06,180690145.9,1.22E-06,169095593.4,1.22E-06,161274941.1
1.30E-06,184893068,1.30E-06,243790060.7,1.30E-06,190511034.4,1.30E-06,178489065.4,1.30E-06,170761713.8
1.39E-06,194442391.6,1.39E-06,255332333.9,1.39E-06,200155294.6,1.39E-06,187728526.8,1.39E-06,180139475.8
1.47E-06,203829866.2,1.47E-06,266639938.5,1.47E-06,209621836.2,1.47E-06,196834692.1,1.47E-06,189383917.3
1.56E-06,213094655.5,1.56E-06,277673089.2,1.56E-06,218987910.5,1.56E-06,205834954,1.56E-06,198499578.2
1.64E-06,222267848.3,1.64E-06,288479544.7,1.64E-06,228212572.5,1.64E-06,214712153.8,1.64E-06,207527704.8
1.73E-06,231326026.2,1.73E-06,299099408.5,1.73E-06,237311627.2,1.73E-06,223494093.3,1.73E-06,216444478.6
1.82E-06,240268187.5,1.82E-06,309420517.4,1.82E-06,246334503.2,1.82E-06,232117074.3,1.82E-06,225291217
1.90E-06,249060189.2,1.90E-06,319652497.5,1.90E-06,255168924.7,1.90E-06,240710581,1.90E-06,233994369.5
1.99E-06,257769199.3,1.99E-06,329693011.6,1.99E-06,263917229.3,1.99E-06,249167693.1,1.99E-06,242625869.7
2.07E-06,266389586.9,2.07E-06,339566207.2,2.07E-06,272528472.9,2.07E-06,257524442.4,2.07E-06,251202302.8
2.16E-06,274863645.6,2.16E-06,349270462.8,2.16E-06,281084379,2.16E-06,265798498.5,2.16E-06,259672595.1
2.24E-06,283304786.6,2.24E-06,358770611.7,2.24E-06,289480905.6,2.24E-06,273966359.3,2.24E-06,268059078.9
2.33E-06,291597057.5,2.33E-06,368192175.2,2.33E-06,297791645.6,2.33E-06,282053020.6,2.33E-06,276350897.6
2.41E-06,299819696.7,2.41E-06,377433410.6,2.41E-06,306004379.1,2.41E-06,290056126.4,2.41E-06,284586421.8
2.50E-06,307969767.7,2.50E-06,386542553.4,2.50E-06,314122196.5,2.50E-06,297981303.4,2.50E-06,292759687.2
