Iin,Nom,Iin,SS,Iin,SF,Iin,FS,Iin,FF
1.06E-07,16642930.05,1.06E-07,18933149.24,1.06E-07,19113877.1,1.06E-07,14749098.87,1.06E-07,13972966.83
1.91E-07,30449953.22,1.91E-07,34332185.85,1.91E-07,34683410.21,1.91E-07,27384094.75,1.91E-07,26267442.49
2.77E-07,44558962.82,2.77E-07,49801851.55,2.77E-07,50120034.51,2.77E-07,40130134.79,2.77E-07,38636180.81
3.62E-07,58808998.34,3.62E-07,65504742.23,3.62E-07,65645216.34,3.62E-07,53238767.9,3.62E-07,51354813.03
4.48E-07,73258225.99,4.48E-07,81443312.23,4.48E-07,81219561.48,4.48E-07,66421336.26,4.48E-07,64280330.06
5.33E-07,87814365.37,5.33E-07,97487621.03,5.33E-07,96848682.45,5.33E-07,79908922.5,5.33E-07,77415538.45
6.19E-07,102547731.3,6.19E-07,113697157.3,6.19E-07,112653009,6.19E-07,93566652.33,6.19E-07,90697596.44
7.04E-07,117427103,7.04E-07,130049814.2,7.04E-07,128597599.9,7.04E-07,107407855.9,7.04E-07,104165686.5
7.90E-07,132441881,7.90E-07,146475290.2,7.90E-07,144491981.7,7.90E-07,121380889.4,7.90E-07,117811127.9
8.75E-07,147428443.1,8.75E-07,162998511.8,8.75E-07,160468898.1,8.75E-07,135614792.3,8.75E-07,131554797.2
9.61E-07,162599162.2,9.61E-07,179618801.4,9.61E-07,176468847.2,9.61E-07,149818959.7,9.61E-07,145376133.3
1.05E-06,177822610.9,1.05E-06,196138011.9,1.05E-06,192462254.1,1.05E-06,164107191.8,1.05E-06,159194116.3
1.13E-06,192987531.4,1.13E-06,212746978,1.13E-06,208387200.2,1.13E-06,178456771.8,1.13E-06,173204110.9
1.22E-06,208182470,1.22E-06,229277472.3,1.22E-06,224306958.2,1.22E-06,192863443.6,1.22E-06,187304012.2
1.30E-06,223372281.9,1.30E-06,245822116.8,1.30E-06,240216029.7,1.30E-06,207272004.6,1.30E-06,201462860.2
1.39E-06,238532031.4,1.39E-06,262361994.8,1.39E-06,256020048,1.39E-06,221735651.4,1.39E-06,215639863.2
1.47E-06,253611698.8,1.47E-06,278879794.5,1.47E-06,271653921.9,1.47E-06,236206781.4,1.47E-06,229830190
1.56E-06,268679320.1,1.56E-06,295256183.7,1.56E-06,287137066.9,1.56E-06,250641813.4,1.56E-06,244037221.4
1.64E-06,283664863.4,1.64E-06,311514881.8,1.64E-06,302565417.6,1.64E-06,265101411.3,1.64E-06,258241682.9
1.73E-06,298553589.9,1.73E-06,327661531.2,1.73E-06,317836989,1.73E-06,279479803.1,1.73E-06,272496390.8
1.82E-06,313363215.5,1.82E-06,343660277.7,1.82E-06,333047051,1.82E-06,293810186.5,1.82E-06,286764333.6
1.90E-06,328066742.6,1.90E-06,359550301,1.90E-06,348117127.8,1.90E-06,308066991.9,1.90E-06,301075741.4
1.99E-06,342683991.9,1.99E-06,375338580.4,1.99E-06,363053362.2,1.99E-06,322335118.6,1.99E-06,315293338.7
2.07E-06,357206352.2,2.07E-06,391010406.1,2.07E-06,377853191,2.07E-06,336477200.5,2.07E-06,329545484.1
2.16E-06,371652666.9,2.16E-06,406575679.3,2.16E-06,392509431.5,2.16E-06,350606894.3,2.16E-06,343803646.3
2.24E-06,385987726.7,2.24E-06,421854027.8,2.24E-06,407031036.8,2.24E-06,364605888.2,2.24E-06,358023887.3
2.33E-06,400119468.5,2.33E-06,437082300.3,2.33E-06,421434626.4,2.33E-06,378500172.7,2.33E-06,372207460.2
2.41E-06,414190837.7,2.41E-06,452225380.7,2.41E-06,435701815.3,2.41E-06,392392048.7,2.41E-06,386407300
2.50E-06,428179642.5,2.50E-06,467246163.2,2.50E-06,449790443.5,2.50E-06,406129844.2,2.50E-06,400537239.1
