Point,Corner,Vctrl,mc_iteration,Pass/Fail,/Vosc_buff,Freq
1,C4,4.00E-01,1,,,3.25E+07
2,C4,4.00E-01,2,,,4.95E+07
3,C4,4.00E-01,3,,,4.70E+07
4,C4,4.00E-01,4,,,4.83E+07
5,C4,4.00E-01,5,,,4.60E+07
6,C4,4.00E-01,6,,,8.28E+07
7,C4,4.00E-01,7,,,2.82E+07
8,C4,4.00E-01,8,,,4.70E+07
9,C4,4.00E-01,9,,,4.34E+07
10,C4,4.00E-01,10,,,3.06E+07
11,C4,4.00E-01,11,,,7.34E+07
12,C4,4.00E-01,12,,,6.75E+07
13,C4,4.00E-01,13,,,3.02E+07
14,C4,4.00E-01,14,,,4.69E+07
15,C4,4.00E-01,15,,,4.83E+07
16,C4,4.00E-01,16,,,3.81E+07
17,C4,4.00E-01,17,,,4.25E+07
18,C4,4.00E-01,18,,,9.13E+07
19,C4,4.00E-01,19,,,4.14E+07
20,C4,4.00E-01,20,,,4.12E+07
21,C4,4.00E-01,21,,,4.01E+07
22,C4,4.00E-01,22,,,1.17E+08
23,C4,4.00E-01,23,,,4.43E+07
24,C4,4.00E-01,24,,,3.04E+07
25,C4,4.00E-01,25,,,3.66E+07
26,C4,4.00E-01,26,,,8.41E+07
27,C4,4.00E-01,27,,,3.86E+07
28,C4,4.00E-01,28,,,3.17E+07
29,C4,4.00E-01,29,,,3.76E+07
30,C4,4.00E-01,30,,,7.81E+07
31,C4,4.00E-01,31,,,3.89E+07
32,C4,4.00E-01,32,,,6.01E+07
33,C4,4.00E-01,33,,,2.66E+07
34,C4,4.00E-01,34,,,3.07E+07
35,C4,4.00E-01,35,,,6.06E+07
36,C4,4.00E-01,36,,,6.16E+07
37,C4,4.00E-01,37,,,5.17E+07
38,C4,4.00E-01,38,,,5.17E+07
39,C4,4.00E-01,39,,,5.10E+07
40,C4,4.00E-01,40,,,5.43E+07
41,C4,4.00E-01,41,,,4.74E+07
42,C4,4.00E-01,42,,,5.25E+07
43,C4,4.00E-01,43,,,5.67E+07
44,C4,4.00E-01,44,,,5.87E+07
45,C4,4.00E-01,45,,,2.91E+07
46,C4,4.00E-01,46,,,2.68E+07
47,C4,4.00E-01,47,,,6.50E+07
48,C4,4.00E-01,48,,,3.70E+07
49,C4,4.00E-01,49,,,8.03E+07
50,C4,4.00E-01,50,,,5.02E+07
51,C4,4.00E-01,51,,,2.49E+07
52,C4,4.00E-01,52,,,4.51E+07
53,C4,4.00E-01,53,,,3.76E+07
54,C4,4.00E-01,54,,,3.30E+07
55,C4,4.00E-01,55,,,6.54E+07
56,C4,4.00E-01,56,,,4.11E+07
57,C4,4.00E-01,57,,,8.97E+07
58,C4,4.00E-01,58,,,2.99E+07
59,C4,4.00E-01,59,,,5.63E+07
60,C4,4.00E-01,60,,,3.16E+07
61,C4,4.00E-01,61,,,6.88E+07
62,C4,4.00E-01,62,,,4.73E+07
63,C4,4.00E-01,63,,,7.29E+07
64,C4,4.00E-01,64,,,5.63E+07
65,C4,4.00E-01,65,,,4.89E+07
66,C4,4.00E-01,66,,,6.43E+07
67,C4,4.00E-01,67,,,3.51E+07
